year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2002,HALTON,17.6093916755603,5.55,3739,118788,18740,NA,0,0,0,NA
2002,HARTLEPOOL,3.441389028130267,5.71,3273,89993,22802.129999999997,2006,2006,0,0,-4
2002,HEREFORDSHIRE,30.664395229982965,6.4,9169,175258,27589,2010,2010,0,0,-8
2002,ISLE OF WIGHT,5.021753557997198,6.35,8989,133908,33902.5,NA,0,0,0,NA
2002,KINGSTON UPON HULL,9.86973100298018,5.97,9413,249463,76841,NA,0,0,0,NA
2002,LEICESTER,29.96051332675222,6.07,10536,285295,52676,2018,2018,0,0,-16
2002,LUTON,53.52601156069364,5.64,5284,185631,22490,2013,2013,0,0,-11
2002,MEDWAY,21.35523613963039,6.03,8050,250262,28246,2014,2014,0,0,-12
2002,MIDDLESBROUGH,26.25959157159677,5.99,4738,140090,24631,NA,0,0,0,NA
2002,MILTON KEYNES,10.440496471160866,5.71,5657,215061,16436,2013,2013,0,0,-11
2002,NORTH EAST LINCOLNSHIRE,7.208362094468002,6.53,6940,158003,30423,2013,2013,0,0,-11
2002,NORTH LINCOLNSHIRE,13.476263399693721,6.16,6551,154240,33956,2015,2015,0,0,-13
2002,NOTTINGHAM,22.776470588235295,6.59,10152,271769,55250,NA,0,0,0,NA
2002,PETERBOROUGH,53.78403424385508,5.88,5671,158794,22661,2014,2014,0,0,-12
2002,PLYMOUTH,22.69937395147101,6.03,10775,242550,48878,2016,2016,0,0,-14
2002,PORTSMOUTH,53.39462948304208,6.32,8707,188476,32846,NA,0,0,0,NA
2002,READING,59.58003035925113,6.68,5084,143915,11858,NA,0,0,0,NA
2002,REDCAR AND CLEVELAND,38.77716355318338,6.01,5820,138520,20984,NA,0,0,0,NA
2002,RUTLAND,48.945409429280396,6.64,1566,35295,6448,2007,2007,0,0,-5
2002,SLOUGH,56.239848402815376,6.52,3438,120927,7388,NA,0,0,0,NA
2002,SOUTH GLOUCESTERSHIRE,48.94383867877184,6.03,8806,247755,21919,NA,0,0,0,NA
2002,SOUTHAMPTON,24.317494352337526,6.84,9227,220459,37310.00000000004,NA,0,0,0,NA
2002,SOUTHEND ON SEA,9.741642211864894,6.08,9918,161159,34758,2018,2018,0,0,-16
2002,STOCKTON ON TEES,16.67667006782306,5.84,6064,184940,33322,NA,0,0,0,NA
2002,STOKE ON TRENT,53.163629351075116,5.99,10005,239955,51855,NA,0,0,0,NA
2002,TELFORD AND WREKIN,0,5.93,4960,159401,21082,NA,0,0,0,NA
2002,TORBAY,8.20620725933719,6.4,9552,130521,41822,NA,0,0,0,NA
2002,WARRINGTON,15.985404452461975,5.64,6799,191615,24391,2016,2016,0,0,-14
