"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"667","SC401547","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Private",5,2015-08-25,"Leave"
"668","SC404130","Residential special school (registered as a children's home)","South West","South West","Devon","Private",5,2015-09-01,"Leave"
"669","SC406513","Children's home","South West","South West","Bristol","Private",4,2015-08-07,"Leave"
"670","SC407551","Children's home","North West","North West","Lancashire","Private",10,2016-01-22,"Leave"
"671","SC407760","Children's home","South West","South West","Devon","Private",3,2015-04-02,"Leave"
"672","SC408510","Children's home","South West","South West","Devon","Private",1,2016-02-07,"Leave"
"673","SC409730","Children's home","West Midlands","West Midlands","Birmingham","Private",5,2015-04-29,"Leave"
"674","SC410102","Children's home","North West","North West","Lancashire","Private",3,2016-01-08,"Leave"
"675","SC411194","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-10-01,"Leave"
"676","SC411297","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-07-28,"Leave"
"677","SC412125","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",4,2015-05-01,"Leave"
"678","SC413565","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",3,2016-01-14,"Leave"
"679","SC414369","Children's home","North West","North West","Cumberland","Private",2,2015-11-12,"Leave"
"680","SC414575","Children's home","South West","South West","Devon","Private",5,2015-04-14,"Leave"
"681","SC417285","Children's home","South West","South West","Swindon","Private",2,2015-06-23,"Leave"
"682","SC421844","Children's home","West Midlands","West Midlands","Birmingham","Private",6,2015-08-10,"Leave"
"683","SC422260","Children's home","South East","South East","Buckinghamshire","Private",4,2015-12-04,"Leave"
"684","SC422346","Children's home","East of England","East of England","Norfolk","Private",4,2016-02-15,"Leave"
"685","SC423382","Children's home","South West","South West","Somerset","Private",2,2015-07-14,"Leave"
"686","SC425519","Children's home","West Midlands","West Midlands","Shropshire","Private",3,2015-07-31,"Leave"
"687","SC425599","Children's home","West Midlands","West Midlands","Shropshire","Private",1,2015-07-31,"Leave"
"688","SC428196","Children's home","North West","North West","Lancashire","Private",4,2015-04-17,"Leave"
"689","SC428512","Residential special school (registered as a children's home)","North West","North West","Sefton","Voluntary",14,2015-10-01,"Leave"
"690","SC429752","Children's home","East of England","East of England","Suffolk","Private",4,2015-04-17,"Leave"
"691","SC429769","Children's home","East of England","East of England","Suffolk","Private",6,2015-05-01,"Leave"
"692","SC433004","Children's home","East of England","East of England","Essex","Private",3,2015-11-30,"Leave"
"693","SC436943","Children's home","West Midlands","West Midlands","Wolverhampton","Private",3,2015-12-27,"Leave"
"694","SC437948","Children's home","South East","South East","Medway","Voluntary",4,2015-04-23,"Leave"
"695","SC438247","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",3,2015-09-22,"Leave"
"696","SC442279","Children's home","South West","South West","Gloucestershire","Local Authority",4,2016-02-08,"Leave"
"697","SC443658","Children's home","North West","North West","Bury","Private",7,2016-02-14,"Leave"
"698","SC446262","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2015-11-24,"Leave"
"699","SC447169","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2015-07-28,"Leave"
"700","SC451266","Children's home","North West","North West","Bolton","Voluntary",4,2016-03-18,"Leave"
"701","SC455401","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2015-04-14,"Leave"
"702","SC455930","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",1,2016-02-29,"Leave"
"703","SC456053","Children's home","South West","South West","Dorset","Private",3,2015-12-31,"Leave"
"704","SC456225","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2015-04-29,"Leave"
"705","SC456953","Children's home","West Midlands","West Midlands","Herefordshire","Private",4,2015-10-19,"Leave"
"706","SC456961","Children's home","South West","South West","Somerset","Private",3,2016-02-22,"Leave"
"707","SC457127","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2015-09-04,"Leave"
"708","SC457178","Residential special school (registered as a children's home)","East Midlands","East Midlands","Derby","Private",12,2016-01-04,"Leave"
"709","SC457502","Children's home","North West","North West","Wirral","Private",1,2015-11-25,"Leave"
"710","SC457627","Children's home","South West","South West","Dorset","Private",4,2015-04-09,"Leave"
"711","SC458189","Children's home","South West","South West","Somerset","Private",2,2015-09-01,"Leave"
"712","SC458758","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2015-07-27,"Leave"
"713","SC460790","Children's home","East Midlands","East Midlands","Nottinghamshire","Voluntary",3,2015-10-14,"Leave"
"714","SC461118","Children's home","North East, Yorkshire and the Humber","North East","Hartlepool","Private",3,2015-04-01,"Leave"
"715","SC461716","Children's home","North West","North West","Liverpool","Private",1,2015-07-11,"Leave"
"716","SC463849","Children's home","East of England","East of England","Bedford","Private",4,2015-09-04,"Leave"
"717","SC466307","Children's home","South West","South West","Devon","Private",8,2015-11-01,"Leave"
"718","SC466515","Children's home","West Midlands","West Midlands","Wolverhampton","Private",3,2015-08-07,"Leave"
"719","SC472073","Children's home","South West","South West","Wiltshire","Private",1,2015-06-26,"Leave"
"720","SC474338","Children's home","West Midlands","West Midlands","Shropshire","Private",3,2016-02-15,"Leave"
"721","SC474585","Children's home","London","London","Richmond upon Thames","Local Authority",2,2015-07-02,"Leave"
"722","SC475223","Residential special school (registered as a children's home)","South East","South East","Kent","Private",54,2016-02-09,"Leave"
"723","SC475944","Children's home","East of England","East of England","Cambridgeshire","Private",4,2015-10-20,"Leave"
"724","SC476603","Children's home","East of England","East of England","Bedford","Private",3,2015-09-04,"Leave"
"725","SC477179","Children's home","West Midlands","West Midlands","Sandwell","Private",2,2015-11-26,"Leave"
"726","SC477495","Children's home","South West","South West","Devon","Private",1,2015-07-30,"Leave"
"727","SC480586","Children's home","North West","North West","Lancashire","Private",4,2016-03-11,"Leave"
"728","SC480680","Children's home","East Midlands","East Midlands","Derby","Private",4,2015-07-06,"Leave"
"729","SC480784","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-11-11,"Leave"
"730","SC481090","Children's home","North West","North West","Lancashire","Private",2,2015-10-22,"Leave"
"731","SC481240","Children's home","London","London","Enfield","Private",5,2015-10-20,"Leave"
"732","SC481898","Children's home","South East","South East","Kent","Private",7,2015-06-29,"Leave"
"733","SC482972","Children's home","South West","South West","Torbay","Private",3,2016-02-17,"Leave"
"734","SC489005","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Voluntary",1,2015-09-24,"Leave"
"735","SC486399","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-02-05,"Leave"
"736","1159807","Children's home","North West","North West","Lancashire","Private",5,2016-03-03,"Leave"
"737","1156094","Children's home","North West","North West","St Helens","Private",10,2016-03-10,"Leave"
"738","1225631","Children's home","North West","North West","Lancashire","Private",5,2016-01-22,"Leave"
"739","SC476256","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2015-11-23,"Leave"
"740","SC480107","Children's home","East of England","East of England","Cambridgeshire","Private",3,2015-12-02,"Leave"
"741","1182965","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-02-17,"Leave"
"742","1159385","Children's home","West Midlands","West Midlands","Shropshire","Private",4,2016-06-14,"Join"
"743","1159397","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",4,2016-04-04,"Join"
"744","1183826","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Private",8,2016-04-04,"Join"
"745","1185533","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",5,2017-01-05,"Join"
"746","1212704","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",3,2016-09-15,"Join"
"747","1221357","Children's home","North West","North West","Blackpool","Private",4,2016-06-09,"Join"
"748","1223491","Children's home","West Midlands","West Midlands","Shropshire","Private",3,2016-04-20,"Join"
"749","1223681","Children's home","North West","North West","Lancashire","Private",2,2016-04-14,"Join"
"750","1225136","Children's home","North West","North West","Lancashire","Private",4,2016-05-18,"Join"
"751","1225371","Children's home","North West","North West","Warrington","Private",2,2016-04-27,"Join"
"752","1226397","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-10-29,"Join"
"753","1226612","Children's home","East of England","East of England","Essex","Private",4,2016-07-15,"Join"
"754","1226971","Residential special school (registered as a children's home)","South West","South West","South Gloucestershire","Voluntary",9,2016-04-06,"Join"
"755","1226977","Children's home","South East","South East","Kent","Private",2,2016-04-12,"Join"
"756","1226978","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",2,2016-05-26,"Join"
"757","1227330","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",3,2016-05-04,"Join"
"758","1227335","Children's home","North West","North West","Lancashire","Private",3,2016-05-27,"Join"
"759","1227869","Children's home","West Midlands","West Midlands","Walsall","Private",5,2016-10-17,"Join"
"760","1228090","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-04-27,"Join"
"761","1228091","Children's home","North West","North West","Cheshire West and Chester","Private",3,2016-06-27,"Join"
"762","1228092","Children's home","East of England","East of England","Essex","Private",4,2016-04-20,"Join"
"763","1228191","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2016-04-29,"Join"
"764","1228921","Children's home","North West","North West","Lancashire","Private",5,2016-05-17,"Join"
"765","1229417","Children's home","North East, Yorkshire and the Humber","North East","Middlesbrough","Private",1,2016-04-05,"Join"
"766","1229534","Children's home","North West","North West","Lancashire","Private",8,2016-04-27,"Join"
"767","1229977","Children's home","South East","South East","Oxfordshire","Local Authority",6,2016-09-05,"Join"
"768","1230268","Children's home","East of England","East of England","Southend on Sea","Private",5,2016-05-05,"Join"
"769","1230411","Children's home","South East","South East","Surrey","Local Authority",2,2016-04-26,"Join"
"770","1230415","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-07-05,"Join"
"771","1230416","Children's home","East of England","East of England","Bedford","Private",4,2016-05-09,"Join"
"772","1230725","Children's home","East of England","East of England","Essex","Private",6,2016-06-07,"Join"
"773","1230940","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",5,2016-05-27,"Join"
"774","1231311","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",3,2016-08-08,"Join"
"775","1231399","Children's home","North West","North West","Blackpool","Private",3,2016-06-30,"Join"
"776","1231404","Children's home","North West","North West","Liverpool","Private",5,2017-01-19,"Join"
"777","1231458","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-05-13,"Join"
"778","1231525","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","East Riding of Yorkshire","Private",1,2016-04-14,"Join"
"779","1231812","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2016-09-09,"Join"
"780","1232171","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",3,2016-05-18,"Join"
"781","1232200","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",3,2016-06-08,"Join"
"782","1232271","Children's home","South West","South West","Gloucestershire","Private",4,2016-06-06,"Join"
"783","1232649","Children's home","North East, Yorkshire and the Humber","North East","Gateshead","Private",5,2016-07-08,"Join"
"784","1232650","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",3,2016-07-21,"Join"
"785","1232657","Children's home","West Midlands","West Midlands","Solihull","Private",4,2017-02-11,"Join"
"786","1232658","Children's home","North West","North West","Cheshire East","Private",5,2016-10-17,"Join"
"787","1233003","Children's home","South West","South West","Dorset","Private",2,2016-04-18,"Join"
"788","1233307","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Local Authority",6,2016-11-28,"Join"
"789","1233310","Children's home","North West","North West","Bolton","Voluntary",3,2016-08-08,"Join"
"790","1233899","Children's home","North West","North West","Cumberland","Private",2,2016-10-11,"Join"
"791","1233981","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",2,2016-08-17,"Join"
"792","1234163","Children's home","South East","South East","Kent","Private",3,2016-09-26,"Join"
"793","1234166","Children's home","London","London","Newham","Private",3,2016-09-20,"Join"
"794","1234243","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-05-27,"Join"
"795","1234244","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-05-12,"Join"
"796","1234317","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",6,2016-08-04,"Join"
"797","1234319","Children's home","North East, Yorkshire and the Humber","North East","North Tyneside","Voluntary",6,2016-06-13,"Join"
"798","1234323","Children's home","North East, Yorkshire and the Humber","North East","North Tyneside","Voluntary",20,2016-06-14,"Join"
"799","1234374","Children's home","South West","South West","Cornwall","Private",2,2016-05-12,"Join"
"800","1234430","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-07-28,"Join"
"801","1234432","Children's home","North West","North West","Knowsley","Private",2,2016-06-03,"Join"
"802","1234621","Children's home","East of England","East of England","Essex","Private",5,2016-07-19,"Join"
"803","1234624","Children's home","South West","South West","Wiltshire","Private",3,2016-09-06,"Join"
"804","1234626","Children's home","South West","South West","Wiltshire","Private",2,2016-08-18,"Join"
"805","1235263","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",5,2016-07-11,"Join"
"806","1235384","Children's home","North West","North West","Lancashire","Private",2,2016-08-12,"Join"
"807","1235576","Children's home","South West","South West","Plymouth","Private",2,2016-06-16,"Join"
"808","1235653","Children's home","London","London","Merton","Private",4,2016-04-12,"Join"
"809","1235654","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2016-07-15,"Join"
"810","1235818","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",4,2016-06-09,"Join"
"811","1236026","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",4,2016-05-07,"Join"
"812","1236278","Children's home","South West","South West","Cornwall","Private",3,2016-06-06,"Join"
"813","1236387","Children's home","South East","South East","Hampshire","Private",4,2016-05-19,"Join"
"814","1236450","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",5,2016-08-16,"Join"
"815","1236532","Children's home","South East","South East","Oxfordshire","Private",5,2016-07-14,"Join"
"816","1236540","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Local Authority",3,2016-06-14,"Join"
"817","1236620","Children's home","South West","South West","Somerset","Private",4,2016-07-18,"Join"
"818","1236625","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-07-21,"Join"
"819","1236771","Children's home","North West","North West","Sefton","Private",4,2016-09-09,"Join"
"820","1236773","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",1,2016-12-14,"Join"
"821","1236832","Children's home","East of England","East of England","Central Bedfordshire","Private",4,2016-07-08,"Join"
"822","1236916","Children's home","South West","South West","North Somerset","Private",3,2016-06-23,"Join"
"823","1237027","Children's home","London","London","Greenwich","Private",3,2016-06-29,"Join"
"824","1237090","Children's home","West Midlands","West Midlands","Sandwell","Private",4,2016-07-20,"Join"
"825","1237582","Children's home","North West","North West","Rochdale","Local Authority",5,2016-05-16,"Join"
"826","1237583","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2016-08-12,"Join"
"827","1238043","Children's home","North West","North West","Lancashire","Private",3,2016-07-01,"Join"
"828","1239948","Children's home","South East","South East","Portsmouth","Local Authority",3,2016-05-25,"Join"
"829","1239953","Children's home","South West","South West","Somerset","Private",3,2016-07-06,"Join"
"830","1240269","Children's home","West Midlands","West Midlands","Sandwell","Private",4,2016-10-24,"Join"
"831","1240397","Children's home","East Midlands","East Midlands","Lincolnshire","Private",5,2016-08-03,"Join"
"832","1240433","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Lincolnshire","Private",3,2016-08-19,"Join"
"833","1240449","Children's home","North West","North West","Knowsley","Private",3,2016-06-08,"Join"
"834","1240572","Children's home","North West","North West","Lancashire","Private",2,2016-11-28,"Join"
"835","1240573","Children's home","North West","North West","Lancashire","Private",4,2016-12-01,"Join"
"836","1240753","Children's home","North West","North West","Lancashire","Private",4,2016-08-17,"Join"
"837","1240754","Children's home","North West","North West","Lancashire","Private",1,2016-08-08,"Join"
"838","1240801","Children's home","North West","North West","Wigan","Private",3,2016-06-27,"Join"
"839","1240802","Children's home","South West","South West","Somerset","Private",4,2016-07-13,"Join"
"840","1240803","Children's home","North West","North West","Blackpool","Private",3,2016-09-12,"Join"
"841","1240840","Children's home","North West","North West","Blackpool","Private",1,2016-08-18,"Join"
"842","1240842","Children's home","North West","North West","Blackpool","Private",1,2016-08-18,"Join"
"843","1240844","Children's home","North West","North West","Lancashire","Private",2,2017-02-16,"Join"
"844","1240883","Children's home","North West","North West","Lancashire","Private",3,2016-08-18,"Join"
"845","1240884","Children's home","North West","North West","Lancashire","Private",2,2016-10-24,"Join"
"846","1240936","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-11-14,"Join"
"847","1241023","Children's home","South East","South East","West Sussex","Private",8,2016-08-18,"Join"
"848","1241261","Children's home","East Midlands","East Midlands","Leicestershire","Private",2,2016-10-07,"Join"
"849","1241263","Children's home","South East","South East","Kent","Private",6,2016-10-26,"Join"
"850","1241407","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-11-08,"Join"
"851","1241632","Children's home","North West","North West","Lancashire","Private",2,2016-09-23,"Join"
"852","1241634","Children's home","North West","North West","Wigan","Private",2,2016-08-22,"Join"
"853","1241656","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2017-01-23,"Join"
"854","1241752","Children's home","East Midlands","East Midlands","Nottinghamshire","Voluntary",2,2016-12-05,"Join"
"855","1241757","Children's home","North West","North West","Wigan","Private",3,2016-08-09,"Join"
"856","1241776","Children's home","West Midlands","West Midlands","Warwickshire","Private",4,2017-02-16,"Join"
"857","1241782","Children's home","North West","North West","Lancashire","Local Authority",6,2016-12-14,"Join"
"858","1241785","Children's home","South East","South East","Hampshire","Private",9,2017-01-24,"Join"
"859","1241789","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-08-23,"Join"
"860","1241836","Children's home","South East","South East","Hampshire","Private",7,2017-01-24,"Join"
"861","1241840","Children's home","South West","South West","Bath and North East Somerset","Private",4,2016-08-30,"Join"
"862","1241843","Children's home","East Midlands","East Midlands","Nottingham","Private",5,2016-08-31,"Join"
"863","1241855","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2017-01-27,"Join"
"864","1241861","Children's home","West Midlands","West Midlands","Worcestershire","Private",4,2016-10-24,"Join"
"865","1241897","Children's home","East of England","East of England","Essex","Private",8,2016-11-29,"Join"
"866","1241939","Children's home","South East","South East","Isle of Wight","Private",3,2016-11-30,"Join"
"867","1241970","Children's home","North West","North West","Westmorland and Furness","Private",2,2017-01-09,"Join"
"868","1241975","Children's home","West Midlands","West Midlands","Dudley","Private",4,2017-03-12,"Join"
"869","1242111","Children's home","South East","South East","Hampshire","Private",4,2017-01-19,"Join"
"870","1242116","Children's home","North West","North West","Knowsley","Local Authority",4,2016-10-31,"Join"
"871","1242216","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2016-09-22,"Join"
"872","1243958","Residential special school (registered as a children's home)","South West","South West","Bristol","Private",48,2016-10-21,"Join"
"873","1243966","Children's home","North West","North West","Warrington","Voluntary",2,2016-12-22,"Join"
"874","1244000","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",5,2016-09-30,"Join"
"875","1244082","Children's home","East Midlands","East Midlands","Lincolnshire","Private",13,2016-10-07,"Join"
"876","1244117","Children's home","East Midlands","East Midlands","Nottinghamshire","Voluntary",5,2016-12-01,"Join"
"877","1244137","Children's home","South West","South West","Devon","Private",2,2016-10-25,"Join"
"878","1244160","Children's home","South East","South East","Oxfordshire","Private",8,2016-10-18,"Join"
"879","1244161","Children's home","East Midlands","East Midlands","Derbyshire","Private",1,2016-09-19,"Join"
"880","1244245","Children's home","West Midlands","West Midlands","Herefordshire","Health Authority",15,2016-12-08,"Join"
"881","1244280","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Bradford","Private",7,2016-11-07,"Join"
"882","1244283","Children's home","North West","North West","Lancashire","Private",3,2017-01-09,"Join"
"883","1244287","Children's home","North West","North West","Lancashire","Private",5,2016-10-11,"Join"
"884","1244350","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-11-24,"Join"
"885","1244384","Children's home","South West","South West","Somerset","Private",2,2016-11-15,"Join"
"886","1244413","Children's home","North East, Yorkshire and the Humber","North East","Stockton-on-Tees","Private",3,2017-02-03,"Join"
"887","1244426","Children's home","South East","South East","Oxfordshire","Local Authority",6,2017-02-23,"Join"
"888","1244460","Children's home","North West","North West","Lancashire","Private",5,2016-11-15,"Join"
"889","1244493","Children's home","North West","North West","Tameside","Private",4,2017-02-10,"Join"
"890","1244527","Children's home","East Midlands","East Midlands","Leicestershire","Private",7,2016-10-26,"Join"
"891","1244835","Children's home","London","London","Southwark","Local Authority",6,2016-10-12,"Join"
"892","1244881","Children's home","North West","North West","Rochdale","Private",2,2016-09-13,"Join"
"893","1244946","Children's home","North West","North West","Wigan","Local Authority",2,2016-10-04,"Join"
"894","1245002","Children's home","South West","South West","South Gloucestershire","Private",4,2016-12-01,"Join"
"895","1245390","Children's home","East Midlands","East Midlands","Derbyshire","Private",2,2016-11-04,"Join"
"896","1245565","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-11-16,"Join"
"897","1245569","Children's home","South West","South West","Somerset","Private",4,2016-10-26,"Join"
"898","1245572","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Bradford","Private",4,2017-02-14,"Join"
"899","1245823","Children's home","West Midlands","West Midlands","Dudley","Private",6,2016-11-09,"Join"
"900","1245829","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-12-01,"Join"
"901","1245979","Children's home","West Midlands","West Midlands","Birmingham","Private",5,2016-10-01,"Join"
"902","1245980","Children's home","West Midlands","West Midlands","Birmingham","Private",6,2016-10-01,"Join"
"903","1245981","Children's home","West Midlands","West Midlands","Birmingham","Private",8,2016-10-01,"Join"
"904","1245982","Children's home","West Midlands","West Midlands","Birmingham","Private",6,2016-10-01,"Join"
"905","1245984","Children's home","West Midlands","West Midlands","Birmingham","Private",5,2016-10-01,"Join"
"906","1246331","Children's home","North West","North West","Lancashire","Private",4,2017-01-30,"Join"
"907","1246449","Children's home","South East","South East","Hampshire","Private",5,2017-02-09,"Join"
"908","1246521","Children's home","South East","South East","Hampshire","Private",14,2016-11-22,"Join"
"909","1246831","Children's home","South West","South West","Bournemouth, Christchurch & Poole","Private",3,2016-12-12,"Join"
"910","1246834","Children's home","South East","South East","West Sussex","Private",5,2016-10-25,"Join"
"911","1247144","Children's home","East Midlands","East Midlands","Derby","Private",4,2016-11-28,"Join"
"912","1247212","Children's home","North West","North West","St Helens","Private",4,2017-02-07,"Join"
"913","1247384","Children's home","South East","South East","Hampshire","Private",2,2016-10-06,"Join"
"914","1247386","Children's home","North West","North West","Westmorland and Furness","Voluntary",5,2017-01-30,"Join"
"915","1247390","Children's home","South West","South West","Gloucestershire","Private",8,2016-12-22,"Join"
"916","1247491","Children's home","North West","North West","Liverpool","Private",4,2016-12-01,"Join"
"917","1247559","Children's home","North West","North West","Lancashire","Private",5,2017-02-21,"Join"
"918","1247560","Children's home","North West","North West","Westmorland and Furness","Private",4,2017-03-09,"Join"
"919","1247670","Children's home","North West","North West","Cumberland","Private",5,2016-12-20,"Join"
"920","1247764","Children's home","West Midlands","West Midlands","Herefordshire","Private",5,2017-03-03,"Join"
"921","1247765","Children's home","West Midlands","West Midlands","Herefordshire","Private",3,2017-03-01,"Join"
"922","1247773","Children's home","North West","North West","Manchester","Private",5,2016-11-30,"Join"
"923","1247776","Children's home","North West","North West","Liverpool","Private",3,2016-12-01,"Join"
"924","1247885","Children's home","North West","North West","Westmorland and Furness","Voluntary",5,2017-01-30,"Join"
"925","1248043","Children's home","North West","North West","Liverpool","Private",2,2016-12-02,"Join"
"926","1248071","Children's home","South West","South West","Plymouth","Private",2,2017-01-03,"Join"
"927","1248773","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",3,2017-02-23,"Join"
"928","1248979","Children's home","East of England","East of England","Essex","Private",7,2017-02-28,"Join"
"929","1249031","Children's home","North West","North West","Wirral","Private",3,2016-12-02,"Join"
"930","1249035","Children's home","North West","North West","Lancashire","Private",6,2017-03-21,"Join"
"931","1249111","Children's home","South East","South East","Hampshire","Private",2,2016-12-14,"Join"
"932","1249115","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",4,2017-03-12,"Join"
"933","1249184","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2017-01-12,"Join"
"934","1249196","Children's home","South West","South West","Somerset","Private",4,2017-01-23,"Join"
"935","1249259","Children's home","South East","South East","Hampshire","Private",4,2017-03-03,"Join"
"936","1249264","Children's home","North West","North West","Westmorland and Furness","Private",2,2017-02-15,"Join"
"937","1249326","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2017-03-08,"Join"
"938","1249787","Children's home","South West","South West","Devon","Private",1,2016-12-16,"Join"
"939","1250035","Children's home","North West","North West","St Helens","Private",4,2017-02-08,"Join"
"940","1250039","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2017-03-02,"Join"
"941","1250253","Children's home","East of England","East of England","Suffolk","Private",4,2016-12-29,"Join"
"942","1250256","Children's home","East Midlands","East Midlands","Nottingham","Private",5,2017-02-13,"Join"
"943","1250902","Children's home","South East","South East","Hampshire","Private",4,2017-02-09,"Join"
"944","1250915","Children's home","North West","North West","Rochdale","Private",3,2017-03-16,"Join"
"945","1250931","Children's home","South East","South East","East Sussex","Private",6,2017-02-22,"Join"
"946","1251073","Children's home","North West","North West","Manchester","Local Authority",5,2017-02-24,"Join"
"947","1251076","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2017-01-12,"Join"
"948","1252095","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",2,2017-02-28,"Join"
"949","1252125","Children's home","North West","North West","Lancashire","Private",3,2017-03-07,"Join"
"950","1252937","Children's home","South East","South East","West Sussex","Private",4,2017-03-02,"Join"
"951","1252997","Children's home","West Midlands","West Midlands","Birmingham","Voluntary",4,2017-03-20,"Join"
"952","1253501","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2017-01-30,"Join"
"953","1253716","Children's home","South East","South East","West Sussex","Private",4,2017-02-22,"Join"
"954","1254835","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Voluntary",6,2017-03-31,"Join"
"955","1254837","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Voluntary",6,2017-03-31,"Join"
"956","1254838","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Voluntary",7,2017-03-31,"Join"
"957","1254841","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Voluntary",6,2017-03-31,"Join"
"958","1254843","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Voluntary",6,2017-03-31,"Join"
"959","1255796","Children's home","North West","North West","Cheshire East","Private",3,2017-03-30,"Join"
"960","SC486886","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2016-10-11,"Join"
"961","SC489660","Children's home","North West","North West","Bury","Private",3,2016-11-22,"Join"
"962","1229229","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",2,2016-04-01,"Join"
"963","1229428","Children's home","North West","North West","Cheshire East","Private",3,2016-09-28,"Join"
"964","1244299","Children's home","North East, Yorkshire and The Humber","Yorkshire and The Humber","Barnsley","Private",4,2017-01-27,"Join"
"965","1155776","Children's home","North West","North West","Lancashire","Private",6,2016-11-14,"Leave"
"966","1222092","Children's home","North West","North West","Lancashire","Private",2,2017-02-17,"Leave"
