"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"451","1155761","Children's home","South West","South West","Gloucestershire","Private",3,2015-10-08,"Join"
"452","1155768","Children's home","West Midlands","West Midlands","Worcestershire","Local Authority",3,2015-07-01,"Join"
"453","1155775","Children's home","North West","North West","Manchester","Private",1,2015-09-24,"Join"
"454","1155776","Children's home","North West","North West","Lancashire","Private",6,2015-11-06,"Join"
"455","1155780","Children's home","West Midlands","West Midlands","Shropshire","Private",4,2015-11-16,"Join"
"456","1156098","Children's home","North West","North West","Bolton","Private",3,2016-01-06,"Join"
"457","1156103","Children's home","West Midlands","West Midlands","Shropshire","Private",4,2016-01-21,"Join"
"458","1159258","Children's home","North West","North West","Manchester","Private",4,2015-10-14,"Join"
"459","1159272","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",4,2015-10-07,"Join"
"460","1159682","Children's home","London","London","Islington","Voluntary",4,2015-09-22,"Join"
"461","1159755","Children's home","London","London","Ealing","Voluntary",4,2015-10-02,"Join"
"462","1159763","Children's home","North East, Yorkshire and the Humber","North East","Darlington","Private",7,2015-09-08,"Join"
"463","1159868","Children's home","South West","South West","Dorset","Private",3,2015-10-29,"Join"
"464","1159884","Children's home","North East, Yorkshire and the Humber","North East","Stockton-on-Tees","Private",5,2016-03-07,"Join"
"465","1159903","Children's home","North West","North West","Salford","Private",5,2015-10-08,"Join"
"466","1164089","Children's home","East of England","East of England","Hertfordshire","Private",4,2015-08-16,"Join"
"467","1164379","Children's home","West Midlands","West Midlands","Sandwell","Private",4,2015-10-25,"Join"
"468","1179497","Children's home","North West","North West","Blackburn with Darwen","Private",1,2015-09-11,"Join"
"469","1183069","Children's home","East of England","East of England","Suffolk","Private",6,2015-10-01,"Join"
"470","1183070","Children's home","East Midlands","East Midlands","Derby","Private",5,2015-11-13,"Join"
"471","1183136","Children's home","East Midlands","East Midlands","Nottingham","Voluntary",2,2015-09-09,"Join"
"472","1183173","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",4,2015-11-09,"Join"
"473","1183197","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Wakefield","Private",4,2015-10-16,"Join"
"474","1183479","Children's home","South East","South East","Slough","Voluntary",6,2015-09-30,"Join"
"475","1183494","Children's home","South East","South East","Slough","Voluntary",7,2015-09-30,"Join"
"476","1183574","Children's home","North West","North West","Cheshire West and Chester","Local Authority",4,2016-01-10,"Join"
"477","1183605","Children's home","North West","North West","Lancashire","Private",3,2016-02-29,"Join"
"478","1183618","Children's home","South West","South West","Cornwall","Voluntary",1,2015-10-09,"Join"
"479","1183621","Children's home","East of England","East of England","Essex","Private",4,2016-01-20,"Join"
"480","1183799","Children's home","South East","South East","Slough","Private",4,2015-11-25,"Join"
"481","1183911","Residential special school (registered as a children's home)","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",12,2015-11-05,"Join"
"482","1183936","Children's home","London","London","Bromley","Private",6,2015-08-24,"Join"
"483","1183937","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",4,2015-11-03,"Join"
"484","1184093","Children's home","North West","North West","Blackpool","Private",3,2015-12-22,"Join"
"485","1185488","Children's home","South East","South East","Reading","Private",4,2015-11-30,"Join"
"486","1185539","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",1,2016-03-08,"Join"
"487","1185765","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2015-12-09,"Join"
"488","1185768","Children's home","South West","South West","Somerset","Private",3,2015-10-29,"Join"
"489","1185828","Children's home","North West","North West","Wigan","Private",4,2016-02-08,"Join"
"490","1205501","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",6,2015-12-18,"Join"
"491","1211772","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",6,2015-12-17,"Join"
"492","1212094","Children's home","North West","North West","Salford","Private",4,2016-02-09,"Join"
"493","1212117","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",3,2015-12-01,"Join"
"494","1212708","Children's home","East Midlands","East Midlands","Nottingham","Private",3,2015-12-09,"Join"
"495","1213416","Children's home","West Midlands","West Midlands","Shropshire","Private",2,2015-11-24,"Join"
"496","1213828","Children's home","North West","North West","St Helens","Private",2,2015-09-29,"Join"
"497","1214266","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-11-10,"Join"
"498","1214270","Children's home","North West","North West","Cheshire East","Private",1,2015-12-18,"Join"
"499","1214396","Children's home","West Midlands","West Midlands","Herefordshire","Private",2,2016-01-13,"Join"
"500","1214688","Children's home","South East","South East","Southampton","Private",5,2015-11-26,"Join"
"501","1215521","Children's home","East Midlands","East Midlands","Nottingham","Private",3,2015-12-07,"Join"
"502","1216505","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Private",5,2016-02-03,"Join"
"503","1216657","Children's home","East Midlands","East Midlands","Nottingham","Voluntary",2,2015-12-23,"Join"
