"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"296","Private","SC479776",5,"TAMESIDE","Family Child Care Ltd","Family Child Care Ltd","HAPPY FAMILIES CHILD CARE LIMITED","2014-11-20","2020-07-01","03817658"
"297","Voluntary","SC484789",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2015-01-27","2023-01-25","02978546"
"298","Local Authority","SC034825",5,"ROCHDALE",NA,NA,NA,NA,"2016-05-01",NA
"299","Voluntary","SC035518",28,"STOCKPORT","Sea Shell Trust Limited","Sea Shell Trust Limited","SEASHELL TRUST",NA,NA,"04216714"
"300","Local Authority","SC040437",6,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"301","Private","SC067899",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"302","Private","SC068223",3,"WIGAN",NA,NA,NA,NA,"2018-01-15",NA
"303","Private","SC456857",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"304","Private","SC469411",4,"BURY",NA,NA,NA,NA,"2017-10-27",NA
"305","Private","SC479650",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"306","Local Authority","SC034108",6,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"307","Local Authority","SC035492",5,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"308","Local Authority","SC040719",3,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"309","Private","SC043697",7,"TAMESIDE","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"310","Private","SC046621",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"311","Private","SC051739",3,"BOLTON","Pathway Care Solutions Ii Ltd","Pathway Care Solutions Ii Ltd","PATHWAY CARE SOLUTIONS II LIMITED",NA,NA,"05047496"
"312","Voluntary","SC057718",5,"BOLTON","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"313","Private","SC062309",6,"TAMESIDE","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"314","Private","SC064530",2,"OLDHAM","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"315","Private","SC065189",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"316","Private","SC065374",5,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD",NA,NA,"03762420"
"317","Private","SC456405",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-08-01","04280519"
"318","Private","SC456539",1,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"319","Private","SC483828",6,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD","2014-12-04",NA,"03762420"
"320","Private","SC356817",4,"OLDHAM","Lifetime Opportunities Ltd","Lifetime Opportunities Ltd","LIFETIME OPPORTUNITIES LTD",NA,NA,"05040885"
"321","Private","SC369144",6,"TAMESIDE","Progressive Care Ltd","Progressive Care Ltd","PROGRESSIVE CARE LIMITED",NA,"2018-07-31","03641345"
"322","Private","SC378407",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"323","Private","SC387148",5,"TRAFFORD","Fairfield Residential Ltd","Fairfield Residential Ltd","FAIRFIELD RESIDENTIAL LIMITED",NA,NA,"06677877"
"324","Private","SC398367",4,"WIGAN","Cherry Cottage Limited","Cherry Cottage Limited","CHERRY COTTAGE LIMITED",NA,"2020-04-23","05864035"
"325","Private","SC416464",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"326","Private","SC433290",6,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-03-31","04280519"
"327","Private","SC066072",3,"OLDHAM","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"328","Private","SC068277",6,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-07-10","04280519"
"329","Voluntary","SC397344",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"330","Private","SC400355",3,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"331","Private","SC456413",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"332","Private","SC456542",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"333","Private","SC456850",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"334","Private","SC457506",2,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-08-06","04280519"
"335","Voluntary","SC470797",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"336","Private","SC477726",2,"WIGAN","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-18",NA,"05952454"
"337","Private","SC456532",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"338","Private","SC473473",3,"ROCHDALE","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD",NA,NA,"07252721"
"339","Private","SC477724",3,"WIGAN","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-17",NA,"05952454"
"340","Private","SC477939",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED","2014-06-03",NA,"05087886"
"341","Private","SC479654",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-05",NA,"08885676"
"342","Private","SC480161",6,"TAMESIDE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-10",NA,"08885676"
"343","Private","1155775",1,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-09-24",NA,"04280519"
"344","Private","1156098",3,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2016-01-06",NA,"04280519"
"345","Private","1159258",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-10-14",NA,"04280519"
"346","Private","1185828",4,"WIGAN","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD","2016-02-08",NA,"08256389"
"347","Private","1224251",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-01-06","2019-05-31","06968122"
"348","Voluntary","1232380",6,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2016-03-17","2022-11-30","02978546"
"349","Voluntary","1233310",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2016-08-08",NA,"02978546"
"350","Local Authority","1237582",5,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,"2016-05-16",NA,NA
"351","Private","1240801",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-06-27",NA,"06968122"
