"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"432","Local Authority","SC059853",6,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"433","Private","SC062263",1,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"434","Private","SC062309",6,"TAMESIDE","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"435","Private","SC063054",1,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,"2018-05-30","05087886"
"436","Local Authority","SC063683",6,"MANCHESTER","Manchester City Council","Manchester City Council",NA,NA,NA,NA
"437","Private","SC064428",4,"WIGAN","Active 8 Care Ltd","Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED",NA,NA,"05107898"
"438","Private","SC064530",2,"OLDHAM","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"439","Private","SC064666",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"440","Private","SC064836",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"441","Private","SC065072",2,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"442","Private","SC065189",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"443","Private","SC065374",5,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD",NA,NA,"03762420"
"444","Private","SC066072",3,"OLDHAM","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"445","Private","SC066560",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"446","Local Authority","SC067052",4,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,"2021-08-09",NA
"447","Private","SC067899",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"448","Private","SC068277",6,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-07-10","04280519"
"449","Private","SC069176",5,"TAMESIDE","Oakfields Children's Care Limited","Oakfields childrens Care Limited","OAKFIELDS CHILDREN'S CARE LIMITED",NA,NA,"05425280"
"450","Private","SC069198",3,"BURY","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"451","Private","SC356817",4,"OLDHAM","Lifetime Opportunities Ltd","Lifetime Opportunities Ltd","LIFETIME OPPORTUNITIES LTD",NA,NA,"05040885"
"452","Private","SC356864",2,"BURY","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"453","Private","SC357133",3,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"454","Private","SC357159",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-03-05","03946050"
"455","Private","SC357455",4,"BLACKBURN WITH DARWEN","Woodside House Care Ltd","Woodside House Care Ltd","WOODSIDE HOUSE CARE LTD",NA,NA,"04960062"
"456","Private","SC357468",1,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"457","Local Authority","SC357979",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"458","Local Authority","SC360599",4,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2022-09-22",NA
"459","Private","SC361811",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"460","Private","SC366343",4,"TAMESIDE","Maple Leaf Care Limited","Maple Leaf Care Limited","MAPLE LEAF CARE LIMITED",NA,NA,"05951541"
"461","Private","SC369144",6,"TAMESIDE","Progressive Care Ltd","Progressive Care Ltd","PROGRESSIVE CARE LIMITED",NA,"2018-07-31","03641345"
"462","Local Authority","SC369857",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"463","Private","SC372117",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"464","Local Authority","SC372511",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"465","Voluntary","SC373044",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"466","Private","SC378407",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"467","Private","SC381339",4,"MANCHESTER","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,"2022-06-11","04460745"
"468","Private","SC381722",2,"BURY","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"469","Private","SC386837",2,"STOCKPORT","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"470","Private","SC387148",5,"TRAFFORD","Fairfield Residential Ltd","Fairfield Residential Ltd","FAIRFIELD RESIDENTIAL LIMITED",NA,NA,"06677877"
"471","Local Authority","SC387671",7,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"472","Private","SC389649",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2020-12-20","04280519"
"473","Private","SC389823",5,"BOLTON","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"474","Private","SC390577",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"475","Private","SC394463",3,"STOCKPORT","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED",NA,NA,"06681557"
"476","Private","SC394478",3,"STOCKPORT","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED",NA,NA,"06681557"
"477","Private","SC396104",6,"TAMESIDE","Full Circle Care","Full Circle Care","FULL CIRCLE CARE LTD",NA,NA,"06610632"
"478","Voluntary","SC397344",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"479","Private","SC398367",4,"WIGAN","Cherry Cottage Limited","Cherry Cottage Limited","CHERRY COTTAGE LIMITED",NA,"2020-04-23","05864035"
"480","Private","SC400355",3,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"481","Local Authority","SC402508",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2020-01-22",NA
"482","Private","SC403464",2,"ROCHDALE","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD",NA,NA,"06984654"
"483","Private","SC407169",4,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"484","Private","SC411030",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"485","Private","SC411825",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED",NA,NA,"06968122"
"486","Private","SC413779",2,"ROCHDALE","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD",NA,NA,"06984654"
"487","Private","SC416267",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"488","Private","SC416464",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"489","Private","SC420388",4,"BURY","Alliance Care & Education Limited","Alliance Care & Education Limited","KEYS ACE LIMITED",NA,NA,"05556312"
"490","Private","SC429189",5,"MANCHESTER","R Place Limited","R Place Limited","R PLACE LIMITED",NA,"2020-07-29","07496321"
"491","Private","SC430239",5,"TAMESIDE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"492","Private","SC433290",6,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-03-31","04280519"
"493","Private","SC436559",5,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"494","Private","SC439116",2,"TRAFFORD","Aspireone Care Ltd","Aspireone Care Ltd","ASPIREONE CARE LIMITED",NA,NA,"07483842"
"495","Private","SC442864",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"496","Private","SC446325",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"497","Private","SC451174",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"498","Private","SC456405",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-08-01","04280519"
"499","Private","SC456409",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"500","Private","SC456413",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"501","Private","SC456416",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"502","Private","SC456418",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"503","Private","SC456419",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"504","Private","SC456532",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"505","Private","SC456539",1,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"506","Private","SC456542",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"507","Private","SC456543",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"508","Private","SC456850",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"509","Private","SC456857",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"510","Private","SC457506",2,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-08-06","04280519"
"511","Private","SC467268",5,"BLACKBURN WITH DARWEN","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"512","Voluntary","SC467796",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"513","Voluntary","SC470797",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"514","Private","SC472680",5,"MANCHESTER","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"515","Private","SC473473",3,"ROCHDALE","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD",NA,NA,"07252721"
"516","Private","SC477724",3,"WIGAN","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-17",NA,"05952454"
"517","Private","SC477726",2,"WIGAN","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-18",NA,"05952454"
"518","Private","SC477939",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED","2014-06-03",NA,"05087886"
"519","Private","SC479647",6,"WIGAN","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"520","Private","SC479650",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"521","Private","SC479654",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-05",NA,"08885676"
"522","Private","SC479776",5,"TAMESIDE","Family Child Care Ltd","Family Child Care Ltd","HAPPY FAMILIES CHILD CARE LIMITED","2014-11-20","2020-07-01","03817658"
"523","Private","SC480161",6,"TAMESIDE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-10",NA,"08885676"
"524","Private","SC482410",3,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2014-11-12",NA,"06968122"
"525","Voluntary","SC483533",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2015-01-27",NA,"02978546"
"526","Private","SC483828",5,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD","2014-12-04",NA,"03762420"
"527","Voluntary","SC484789",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2015-01-27","2023-01-25","02978546"
"528","Private","SC489660",3,"BURY","Altum Residential Care Ltd","Altum Residential Care Ltd","ALTUM RESIDENTIAL CARE LTD","2016-11-22","2018-09-30","08232494"
"529","Private","1255800",2,"MANCHESTER","Family Child Care Ltd","Family Child Care Ltd","HAPPY FAMILIES CHILD CARE LIMITED","2017-11-02","2019-10-04","03817658"
"530","Private","1258975",3,"OLDHAM","Oasis Adolescent Services Limited","Oasis Adolescent Services Limited","OASIS ADOLESCENT SERVICES LIMITED","2017-10-16",NA,"10606038"
"531","Local Authority","1263766",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,"2017-10-23",NA,NA
"532","Local Authority","1263768",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,"2017-10-23",NA,NA
"533","Private","1264696",2,"OLDHAM","Dynamic Childcare Limited","Dynamic Childcare Limited","HORIZON INDEPENDENT CARE LTD","2018-01-12","2021-08-08","09972851"
"534","Private","1265092",7,"BOLTON","4pureheart Limited","4pureheart Limited","4PUREHEART LIMITED","2018-01-03",NA,"10057047"
"535","Private","1270297",3,"BURY","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD","2017-11-24",NA,"08256389"
"536","Local Authority","1271135",5,"STOCKPORT","Stockport Council","Stockport Council",NA,"2018-02-15",NA,NA
"537","Private","1155775",1,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2015-09-24",NA,"04280519"
"538","Private","1156098",3,"BOLTON","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2016-01-06",NA,"04280519"
"539","Private","1159258",3,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2015-10-14",NA,"04280519"
"540","Private","1244493",4,"TAMESIDE","Stepping Stones Childrens Homes Ltd","Stepping Stones Childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED","2017-02-10",NA,"09977747"
"541","Private","1244881",2,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2016-09-13",NA,"05033530"
"542","Private","1247773",5,"MANCHESTER","Keys Group Progressive Care & Education Limited","Keys Group Progressive Care & Education Limited","KEYS GROUP PROGRESSIVE CARE & EDUCATION LIMITED","2016-11-30",NA,"03849567"
"543","Private","1255800",2,"MANCHESTER","Proactive Care (Manchester) Ltd","Proactive Care (Manchester) Ltd","PROACTIVE CARE (MANCHESTER) LTD","2017-11-02","2019-10-04","08759855"
"544","Private","1263425",2,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2018-09-25",NA,"04460745"
"545","Local Authority","1263766",3,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,"2017-10-23",NA,NA
"546","Local Authority","1263768",3,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,"2017-10-23",NA,NA
"547","Local Authority","1271135",5,"STOCKPORT","Stockport Metropolitan Borough Council","Stockport Metropolitan Borough Council",NA,"2018-02-15",NA,NA
"548","Private","1271581",2,"BOLTON","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD","2018-04-04",NA,"07252721"
"549","Private","1277049",2,"WIGAN","All Round Care Ltd","All Round Care Ltd","ALL ROUND CARE LTD","2018-07-26",NA,"10639802"
"550","Private","1278753",3,"OLDHAM","Oasis Adolescent Services Limited","Oasis Adolescent Services Limited","OASIS ADOLESCENT SERVICES LIMITED","2018-09-06",NA,"10606038"
"551","Private","1280370",2,"OLDHAM","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"552","Private","1280371",2,"OLDHAM","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"553","Private","1280412",4,"WIGAN","Apex Children's Services","Apex childrens Services","APEX CHILDRENS SERVICES LTD","2018-06-25",NA,"10344525"
"554","Private","2484682",3,"BURY","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD","2018-08-06",NA,"08256389"
"555","Private","2490784",4,"OLDHAM","Dynamic Childcare Limited","Dynamic Childcare Limited","HORIZON INDEPENDENT CARE LTD","2018-08-28","2020-07-29","09972851"
"556","Private","SC005751",1,"WIGAN","Care Afloat Ltd","Care Afloat Ltd","CARE AFLOAT LTD.",NA,NA,"02578368"
"557","Local Authority","SC034012",3,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,NA,NA,NA
"558","Local Authority","SC034108",6,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,NA,NA,NA
"559","Private","SC035657",7,"OLDHAM","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"560","Local Authority","SC039070",5,"STOCKPORT","Stockport Metropolitan Borough Council","Stockport Metropolitan Borough Council",NA,NA,NA,NA
"561","Private","SC043972",5,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"562","Private","SC062263",1,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"563","Private","SC064530",2,"OLDHAM","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"564","Private","SC064666",2,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"565","Private","SC065072",2,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"566","Private","SC067899",7,"OLDHAM","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"567","Private","SC356864",2,"BURY","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"568","Private","SC357468",1,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"569","Local Authority","SC357979",3,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,NA,NA,NA
"570","Local Authority","SC360599",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2022-09-22",NA
"571","Private","SC378407",2,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"572","Private","SC389649",3,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,"2020-12-20","04280519"
"573","Private","SC396104",6,"TAMESIDE","Full Circle Care Ltd","Full Circle Care Ltd","FULL CIRCLE CARE LTD",NA,NA,"06610632"
"574","Private","SC416267",2,"ROCHDALE","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"575","Private","SC430239",5,"TAMESIDE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"576","Private","SC433290",6,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,"2021-03-31","04280519"
"577","Private","SC446325",2,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"578","Private","SC451174",2,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"579","Private","SC456409",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"580","Private","SC456413",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"581","Private","SC456416",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"582","Private","SC456418",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"583","Private","SC456419",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"584","Private","SC456532",2,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"585","Private","SC456539",1,"BOLTON","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"586","Private","SC456542",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"587","Private","SC456543",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"588","Private","SC456850",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"589","Private","SC456857",1,"ROCHDALE","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"590","Private","SC457506",2,"OLDHAM","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED",NA,"2021-08-06","04280519"
"591","Private","SC477724",3,"WIGAN","Crystal Care Solutions","Crystal Care Solutions","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-17",NA,"05952454"
"592","Private","SC477726",2,"WIGAN","Crystal Care Solutions","Crystal Care Solutions","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-18",NA,"05952454"
"593","Private","SC479776",4,"TAMESIDE","Proactive Care (Manchester) Ltd","Proactive Care (Manchester) Ltd","PROACTIVE CARE (MANCHESTER) LTD","2014-11-20","2020-07-01","08759855"
"594","Private","1185828",4,"WIGAN","Next Stage 4 Life Ltd","Next Stage 4 Life Ltd","NEXT STAGE 4 LIFE LTD","2016-02-08",NA,"08256389"
"595","Voluntary","1232380",6,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW","2016-03-17","2022-11-30","02978546"
"596","Voluntary","1233310",3,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW","2016-08-08",NA,"02978546"
"597","Private","1240801",3,"WIGAN","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED","2016-06-27",NA,"06968122"
"598","Private","1241757",3,"WIGAN","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED","2016-08-09",NA,"06968122"
"599","Private","1250915",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED","2017-03-16",NA,"05087886"
"600","Private","1263425",2,"STOCKPORT","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.","2018-09-25",NA,"10413929"
"601","Private","1265092",7,"BOLTON","4PureHeart Limited","4PureHeart Limited","4PUREHEART LIMITED","2018-01-03",NA,"10057047"
"602","Private","1270297",3,"BURY","Next Stage 4 Life Ltd","Next Stage 4 Life Ltd","NEXT STAGE 4 LIFE LTD","2017-11-24",NA,"08256389"
"603","Private","1280412",4,"WIGAN","Apex Childrens Services","Apex Childrens Services","APEX CHILDRENS SERVICES LTD","2018-06-25",NA,"10344525"
"604","Private","2484682",3,"BURY","Next Stage 4 Life Ltd","Next Stage 4 Life Ltd","NEXT STAGE 4 LIFE LTD","2018-08-06",NA,"08256389"
"605","Private","2490784",3,"OLDHAM","Dynamic Childcare Limited","Dynamic Childcare Limited","HORIZON INDEPENDENT CARE LTD","2018-08-28","2020-07-29","09972851"
"606","Private","2498911",2,"MANCHESTER","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD","2018-12-17","2020-12-02","03576741"
