"","Local.authority","year","Places_Individual_owned","Places_Corporate_owned","Places_Unidentified_for_profit","Places_Local_Authority","Places_Third_sector","Places_Investment_owned","Places_LA_owned_company","Homes_Individual_owned","Homes_Corporate_owned","Homes_Unidentified_for_profit","Homes_Local_Authority","Homes_Third_sector","Homes_Investment_owned","Homes_LA_owned_company","out_of_area_per","out_of_area","net_gain","vacancy_rate_fte","child_rel_pov_n","under_19_population","rel_pov_per","Region.Country.name","median_house_price_detached","average_house_price_per_sq_m","X..of.white...aged.16.","Unemployment.rate...aged.16.64.","median_wage","claimant_count_rate","children_in_care","net_loss","occupancy_rate_fte","net_loss_same_year","All_homes","net_loss_lagged","net_loss_lead","LA_lagged","third_lagged","invest_lagged","all_lagged","ind_lagged","corp_lagged","residential_expenditure","Asylum_per","Asylum_no","all_change","third_change","la_change","invest_change","corp_change","ind_change"
"1","BARKING AND DAGENHAM",2014,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","2",NA,"12384",61940,19.9935421375525,"London",25.5,4478,NA,NA,14.99,3.5,NA,-2,NA,-0.107260456850914,4,NA,0.307548118744293,NA,NA,NA,NA,NA,NA,"2444172",NA,NA,NA,NA,NA,NA,NA,NA
"2","BARKING AND DAGENHAM",2015,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-12",49,"13812",63597,21.7180055663003,"London",32.375,4478,56.2,11.8,15.73,2.5,NA,12,51,0.307548118744293,4,-0.107260456850914,0.189031382859949,0,0,0,4,2,1,"3265940",NA,NA,0,0,0,0,0,0
"3","BARKING AND DAGENHAM",2016,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-8",49,"14048",65202,21.5453513695899,"London",38,4478,53.2,9.7,14.49,2.3,NA,8,51,0.189031382859949,4,0.307548118744293,0.159402198888862,0,0,0,4,2,1,"7103296",NA,NA,0,0,0,0,0,0
"4","BARKING AND DAGENHAM",2017,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-7",40.4,"15644",65804,23.7736307823233,"London",38.025,4478,53.9,9.2,14.67,2.4,NA,7,59.6,0.159402198888862,4,0.189031382859949,0.307548118744293,0,0,0,4,2,1,"5714068",NA,NA,0,0,0,0,0,0
"5","BARKING AND DAGENHAM",2018,16,5,7,0,0,0,0,3,1,1,0,0,0,0,"c","c","-12",29.5,"14437",66246,21.7930139178215,"London",42.65,4478,51.7,8.2,14.34,2.6,NA,12,70.5,0.307548118744293,5,0.159402198888862,0.0705146469756037,0,0,0,4,2,1,"5442620","6","26",1,0,0,0,0,1
"6","BARKING AND DAGENHAM",2019,20,5,7,0,0,0,0,4,1,1,0,0,0,0,"c","c","-4",21.9,"16603",66679,24.8998935196989,"London",38.45,4478,56.9,5.8,14.41,3.6,NA,4,78.1,0.0705146469756037,6,0.307548118744293,0.0705146469756037,0,0,0,5,3,1,"6137232","11","46",1,0,0,0,0,1
"7","BARKING AND DAGENHAM",2020,20,5,7,0,0,0,0,4,1,1,0,0,0,0,"c","c","-4",17.2,"15294",66945,22.8456195384271,"London",42.5,4478,52.8,5.7,16.25,9.3,NA,4,82.8,0.0705146469756037,6,0.0705146469756037,0.307548118744293,0,0,0,6,4,1,"6539432","10","40",0,0,0,0,0,0
"8","BARKING AND DAGENHAM",2021,20,8,7,0,0,0,0,4,2,1,0,0,0,0,"c","c","-12",20.9,"15218",66474,22.893161235972,"London",43.5,4478,47.3,9.2,16.2,9.3,NA,12,79.1,0.307548118744293,7,0.0705146469756037,0.396435670657552,0,0,0,6,4,1,"8069834","9","36",1,0,0,0,1,0
"9","BARKING AND DAGENHAM",2022,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"80","32","-15",20.6,"17013",66764,25.4822958480618,"London",47,4478,49.9,3.1,16.49,6.2,40,15,79.4,0.396435670657552,8,0.307548118744293,0.248289750802121,0,0,0,7,4,2,"10367331","7","29",1,0,0,0,1,0
"10","BARKING AND DAGENHAM",2023,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"83","30","-10",23.2,"18585",67635,27.478376580173,"London",58,4478,47.9,4.6,16.84,6.4,36.144578313253,10,76.8,0.248289750802121,8,0.396435670657552,0.0112562790334312,0,0,0,8,4,3,"6467282","6","27",0,0,0,0,0,0
"11","BARKING AND DAGENHAM",2024,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"c","c","-2",13.3,NA,NA,NA,"London",44.75,4478,37.5,4.2,17.84,7.3,NA,2,86.7,0.0112562790334312,8,0.248289750802121,NA,0,0,0,8,4,3,"8881102","5","20",0,0,0,0,0,0
"12","BARNET",2014,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"75","30","-30",NA,"10028",91028,11.016390561146,"London",89.995,6737,NA,NA,15.53,1.8,40,30,NA,0.840873430223846,4,NA,0.900131798166018,NA,NA,NA,NA,NA,NA,"7403747",NA,NA,NA,NA,NA,NA,NA,NA
"13","BARNET",2015,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"79","34","-32",22,"10559",91482,11.5421612994906,"London",95,6737,67,6,15.1,1.5,43.0379746835443,32,78,0.900131798166018,4,0.840873430223846,0.81124424625276,2,1,0,4,0,0,"7534180",NA,NA,0,0,0,0,0,0
"14","BARNET",2016,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"75","30","-29",22,"10498",92378,11.3641776180476,"London",99.995,6737,68,6.9,15.09,1.5,40,29,78,0.81124424625276,4,0.900131798166018,1.01864853405036,2,1,0,4,0,0,"7619120",NA,NA,0,0,0,0,0,0
"15","BARNET",2017,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"76","38","-36",32.1,"11777",92863,12.6821231276181,"London",115,6737,68.4,4.6,15.58,1.4,50,36,67.9,1.01864853405036,4,0.81124424625276,0.929760982137104,2,1,0,4,0,0,"6831399",NA,NA,0,0,0,0,0,1
"16","BARNET",2018,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"80","37","-33",28.7,"10272",93476,10.988916941247,"London",111,6737,68.7,3.3,14.71,1.4,46.25,33,71.3,0.929760982137104,4,1.01864853405036,0.781615062281673,2,1,0,4,1,0,"8294661","20","64",0,0,0,0,0,0
"17","BARNET",2019,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"78","32","-28",33.1,"11689",93623,12.4851799237367,"London",105,6737,66.6,5.2,15.35,2.2,41.025641025641,28,66.9,0.781615062281673,4,0.929760982137104,0.781615062281673,2,1,0,4,1,0,"9473314","21","64",0,0,0,0,0,0
"18","BARNET",2020,10,0,0,12,9,0,0,3,0,0,2,1,0,0,"76","34","-28",39.2,"10541",94011,11.2125176841008,"London",111.25,6737,65.3,5.7,15.91,6.8,44.7368421052632,28,60.8,0.781615062281673,6,0.781615062281673,0.692727510368415,2,1,0,4,1,0,"9618047","20","67",2,0,0,0,0,2
"19","BARNET",2021,10,0,0,12,9,0,0,3,0,0,2,1,0,0,"82","31","-25",32.1,"10602",93590,11.3281333475799,"London",116.5,6737,65,5.7,16.15,6.5,37.8048780487805,25,67.9,0.692727510368415,6,0.781615062281673,0.722356694339501,2,1,0,6,3,0,"10595006","21","67",0,0,0,0,0,0
"20","BARNET",2022,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"84","31","-26",29.1,"11995",95350,12.5799685369691,"London",119.5,6737,59.1,9.3,16.1,4.5,36.9047619047619,26,70.9,0.722356694339501,7,0.692727510368415,0.840873430223846,2,1,0,6,3,0,"11968082","20","66",1,0,0,0,0,1
"21","BARNET",2023,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"83","38","-30",22.3,"13717",96992,14.1424034971956,"London",145,6737,58.3,4.9,18.27,4.2,45.7831325301205,30,77.7,0.840873430223846,7,0.722356694339501,0.426064854628638,2,1,0,7,4,0,"16906667","18","58",0,0,0,0,0,0
"22","BARNET",2024,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"76","29","-16",18.7,NA,NA,NA,"London",139.74,6737,67.3,5.5,17.92,4.6,38.1578947368421,16,81.3,0.426064854628638,7,0.840873430223846,NA,2,1,0,7,4,0,"16318291","19","62",0,0,0,0,0,0
"23","BARNSLEY",2014,5,5,3,19,8,26,0,2,1,0,2,1,9,0,"47","8","17",NA,"11291",51954,21.7326866073835,"Yorkshire and The Humber",17,1518.33333333333,NA,NA,12.15,3.2,17.0212765957447,-17,NA,-0.551698216417207,15,NA,-0.670214952301552,NA,NA,NA,NA,NA,NA,"4300205",NA,NA,NA,NA,NA,NA,NA,NA
"24","BARNSLEY",2015,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"48","10","21",14,"12106",52041,23.2624277012356,"Yorkshire and The Humber",18,1518.33333333333,98,7.3,12.35,2.5,20.8333333333333,-21,86,-0.670214952301552,16,-0.551698216417207,-0.551698216417207,2,1,9,15,2,1,"5327510",NA,NA,1,0,0,1,0,0
"25","BARNSLEY",2016,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"47","9","17",14,"12269",51967,23.6092135393615,"Yorkshire and The Humber",18.5,1518.33333333333,97.5,7,12.27,2.3,19.1489361702128,-17,86,-0.551698216417207,16,-0.670214952301552,-0.522069032446121,2,1,10,16,2,1,"3197471",NA,NA,0,0,0,0,0,0
"26","BARNSLEY",2017,5,5,4,15,8,29,0,2,1,0,2,1,10,0,"58","11","16",7.2,"13846",51998,26.6279472287396,"Yorkshire and The Humber",19.5675,1518.33333333333,98,5.3,12.95,2.3,18.9655172413793,-16,92.8,-0.522069032446121,16,-0.551698216417207,-0.699844136272638,2,1,10,16,2,1,"3443752",NA,NA,0,0,0,0,0,0
"27","BARNSLEY",2018,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"45","9","22",5.2,"12741",52019,24.4929737211404,"Yorkshire and The Humber",21,1518.33333333333,98.5,5.4,12.95,3.3,20,-22,94.8,-0.699844136272638,16,-0.522069032446121,-0.433181480532862,2,1,10,16,2,1,"4068675","c","c",0,0,0,0,0,0
"28","BARNSLEY",2019,6,5,0,15,8,29,0,3,1,0,2,1,10,0,"58","11","13",7,"14998",52156,28.7560395735869,"Yorkshire and The Humber",21.4995,1518.33333333333,98.2,5.3,13.7,3.5,18.9655172413793,-13,93,-0.433181480532862,17,-0.699844136272638,-0.492439848475035,2,1,10,16,2,1,"4918891","c","c",1,0,0,0,0,1
"29","BARNSLEY",2020,10,5,0,15,8,29,0,4,1,0,2,1,10,0,"47","9","15",11.6,"13184",52353,25.1828930529292,"Yorkshire and The Humber",22.9995,1518.33333333333,97.9,4.2,13.85,6.5,19.1489361702128,-15,88.4,-0.492439848475035,18,-0.433181480532862,-0.492439848475035,2,1,10,17,3,1,"5323443","c","c",1,0,0,0,0,1
"30","BARNSLEY",2021,10,5,0,15,8,29,0,4,1,0,2,1,10,0,"c","c","15",15.7,"13891",52496,26.4610637000914,"Yorkshire and The Humber",23.995,1518.33333333333,98.6,3.4,13.52,5.5,NA,-15,84.3,-0.492439848475035,18,-0.492439848475035,-0.462810664503949,2,1,10,18,4,1,"4693615","0","0",0,0,0,0,0,0
"31","BARNSLEY",2022,8,5,1,15,8,29,0,3,1,0,2,1,10,0,"64","14","14",23.8,"16081",53207,30.2234668370703,"Yorkshire and The Humber",25,1518.33333333333,97.6,4.4,13.94,3.6,21.875,-14,76.2,-0.462810664503949,17,-0.492439848475035,0.0408854630045174,2,1,10,18,4,1,"7201434","3","11",-1,0,0,0,0,-1
"32","BARNSLEY",2023,7,5,1,15,8,29,0,2,1,0,2,1,10,0,"73","24","-3",15.7,"16850",53740,31.3546706363975,"Yorkshire and The Humber",28,1518.33333333333,99.1,3,16.29,3.5,32.8767123287671,3,84.3,0.0408854630045174,16,-0.462810664503949,0.0705146469756037,2,1,10,17,3,1,"10601133","4","17",-1,0,0,0,0,-1
"33","BARNSLEY",2024,7,5,1,15,8,29,0,2,1,0,2,1,10,0,"67","24","-4",8.4,NA,NA,NA,"Yorkshire and The Humber",28.4995,1518.33333333333,95.2,3.6,16.74,3.4,35.8208955223881,4,91.6,0.0705146469756037,16,0.0408854630045174,NA,2,1,10,16,2,1,"17775102","6","25",0,0,0,0,0,0
"34","BATH AND NORTH EAST SOMERSET",2014,0,0,0,0,5,0,0,0,0,0,0,1,0,0,"c","c","-5",NA,"3889",36480,10.6606359649123,"South West",34.3,3353.66666666667,NA,NA,12.27,1.2,NA,5,NA,0.10014383094669,1,NA,0.0705146469756037,NA,NA,NA,NA,NA,NA,"1017419",NA,NA,NA,NA,NA,NA,NA,NA
"35","BATH AND NORTH EAST SOMERSET",2015,0,0,0,0,5,0,0,0,0,0,0,1,0,0,"c","c","-4",13,"3988",36950,10.7929634641407,"South West",37.9,3353.66666666667,95.2,4.6,12.48,1,NA,4,87,0.0705146469756037,1,0.10014383094669,0.0705146469756037,0,1,0,1,0,0,"2593860",NA,NA,0,0,0,0,0,0
"36","BATH AND NORTH EAST SOMERSET",2016,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-4",13,"3858",37491,10.2904697127311,"South West",39.7786,3353.66666666667,95.2,4.5,13.98,0.9,NA,4,87,0.0705146469756037,2,0.0705146469756037,0.0112562790334312,0,1,0,1,0,0,"2333025",NA,NA,1,0,0,1,0,0
"37","BATH AND NORTH EAST SOMERSET",2017,0,0,0,0,10,4,0,0,0,0,0,2,1,0,"c","c","-2",8.3,"4163",37660,11.0541688794477,"South West",43.5,3353.66666666667,95.6,3.3,13.71,1.6,NA,2,91.7,0.0112562790334312,3,0.0705146469756037,0.0408854630045174,0,1,1,2,0,0,"3157838",NA,NA,1,1,0,0,0,0
"38","BATH AND NORTH EAST SOMERSET",2018,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-3",7.8,"3821",37929,10.0740857918743,"South West",44.55,3353.66666666667,95.6,3.4,14.6,1.7,NA,3,92.2,0.0408854630045174,2,0.0112562790334312,0.0408854630045174,0,2,1,3,0,0,"2826711","7","11",-1,-1,0,0,0,0
"39","BATH AND NORTH EAST SOMERSET",2019,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-3",5.7,"4440",38147,11.639185257032,"South West",44,3353.66666666667,95.2,1.9,14.42,1.8,NA,3,94.3,0.0408854630045174,2,0.0408854630045174,0.277918934773207,0,1,1,2,0,0,"2521649","5","9",0,0,0,0,0,0
"40","BATH AND NORTH EAST SOMERSET",2020,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-11",6.8,"3926",38408,10.2218287856697,"South West",46.5,3353.66666666667,95.8,4.3,15.05,4,NA,11,93.2,0.277918934773207,2,0.0408854630045174,0.426064854628638,0,1,1,2,0,0,"4696550","4","7",0,0,0,0,0,0
"41","BATH AND NORTH EAST SOMERSET",2021,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-16",7.4,"3817",38387,9.94347044572381,"South West",51,3353.66666666667,95,3.4,14.35,3.3,NA,16,92.6,0.426064854628638,2,0.277918934773207,0.33717730271538,0,1,1,2,0,0,"16035928","4","7",0,0,0,0,0,0
"42","BATH AND NORTH EAST SOMERSET",2022,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"100","16","-13",18.6,"4482",38963,11.5032210045428,"South West",54.5,3353.66666666667,94.8,1.7,15.72,1.8,16,13,81.4,0.33717730271538,2,0.426064854628638,0.189031382859949,0,1,1,2,0,0,"16721439","6","12",0,0,0,0,0,0
"43","BATH AND NORTH EAST SOMERSET",2023,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-8",7.8,"4706",39272,11.9830922794867,"South West",60,3353.66666666667,95.5,4.7,17.58,1.7,NA,8,92.2,0.189031382859949,2,0.33717730271538,0.189031382859949,0,1,1,2,0,0,"16862161","15","34",0,0,0,0,0,0
"44","BATH AND NORTH EAST SOMERSET",2024,0,0,0,0,5,4,0,0,0,0,0,1,1,0,"c","c","-8",12.1,NA,NA,NA,"South West",61.6,3353.66666666667,93.2,2.3,18.25,1.8,NA,8,87.9,0.189031382859949,2,0.189031382859949,NA,0,1,1,2,0,0,"15297827","10","21",0,0,0,0,0,0
"45","BEDFORD",2014,4,0,12,12,9,14,0,1,0,2,2,2,4,0,"50","14","1",NA,"6883",39877,17.2605762720365,"East of England",28.495,2742,NA,NA,12.22,2.7,28,-1,NA,-0.0776312728798275,11,NA,0.0705146469756037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","BEDFORD",2015,8,0,12,12,9,17,0,2,0,2,2,2,5,0,"64","18","-4",43,"7007",40371,17.356518292834,"East of England",31,2742,82.2,4.7,13.12,2.1,28.125,4,57,0.0705146469756037,13,-0.0776312728798275,-0.0776312728798275,2,2,4,11,1,0,NA,NA,NA,2,0,0,1,0,1
"47","BEDFORD",2016,8,0,5,12,9,21,0,2,0,1,2,2,6,0,"61","17","1",43,"6790",41117,16.5138507186808,"East of England",34,2742,84.8,3.4,13.56,1.9,27.8688524590164,-1,57,-0.0776312728798275,13,0.0705146469756037,-0.314664744648517,2,2,5,13,2,0,"3349690",NA,NA,0,0,0,1,0,0
"48","BEDFORD",2017,8,9,5,12,9,21,0,2,2,1,2,2,6,0,"45","13","9",38.6,"7943",41579,19.1033935400082,"East of England",36.7,2742,86.2,5.1,13.49,2,28.8888888888889,-9,61.4,-0.314664744648517,15,-0.0776312728798275,-0.37392311259069,2,2,6,13,2,0,"2935795",NA,NA,2,0,0,0,2,0
"49","BEDFORD",2018,8,9,0,12,9,21,0,2,2,0,2,2,6,0,"50","12","11",29.2,"7442",42316,17.5867284242367,"East of England",39,2742,84.9,1.5,13.67,2.8,24,-11,70.8,-0.37392311259069,14,-0.314664744648517,-0.37392311259069,2,2,6,15,2,2,"3245913","9","22",-1,0,0,0,0,0
"50","BEDFORD",2019,8,9,0,12,1,21,0,2,2,0,2,1,6,0,"65","11","11",7.5,"8543",42739,19.9887690399869,"East of England",40.5,2742,83.5,3.6,14.45,3,16.9230769230769,-11,92.5,-0.37392311259069,13,-0.37392311259069,-0.551698216417207,2,2,6,14,2,2,"3424791","9","22",-1,-1,0,0,0,0
"51","BEDFORD",2020,11,9,0,12,1,18,0,3,2,0,2,1,5,0,"c","c","17",11.1,"7344",43024,17.0695425808851,"East of England",40.55,2742,82.3,4,14.38,6.2,NA,-17,88.9,-0.551698216417207,13,-0.37392311259069,-0.433181480532862,2,1,6,13,2,2,"3324452","9","23",0,0,0,-1,0,1
"52","BEDFORD",2021,14,9,0,12,0,20,0,4,2,0,2,0,6,0,"c","c","13",12.4,"7781",43577,17.855749592675,"East of England",42.9995,2742,87.2,3.4,15.07,5.4,NA,-13,87.6,-0.433181480532862,14,-0.551698216417207,-0.403552296561776,2,1,5,13,3,2,"3970142","8","23",1,-1,0,1,0,1
"53","BEDFORD",2022,15,9,0,12,0,20,0,5,2,0,2,0,6,0,"c","c","12",23.7,"8777",44379,19.7773721805358,"East of England",44.5,2742,79.5,2.5,15.49,3.7,NA,-12,76.3,-0.403552296561776,15,-0.433181480532862,-0.0776312728798275,2,0,6,14,4,2,"5187899","11","29",1,0,0,0,0,1
"54","BEDFORD",2023,15,9,0,12,0,18,0,5,2,0,2,0,5,0,"c","c","1",27.7,"9323",45238,20.608780229011,"East of England",47.75,2742,76.6,2.7,15.8,3.8,NA,-1,72.3,-0.0776312728798275,14,-0.403552296561776,-0.166518824793086,2,0,6,15,5,2,"10315229","11","31",-1,0,0,-1,0,0
"55","BEDFORD",2024,15,9,0,12,0,18,0,5,2,0,2,0,5,0,"c","c","4",31.7,NA,NA,NA,"East of England",47.05,2742,82.8,5.1,16.93,4,NA,-4,68.3,-0.166518824793086,14,-0.0776312728798275,NA,2,0,5,14,5,2,"11387133","13","33",0,0,0,0,0,0
"56","BEXLEY",2014,0,0,0,0,10,6,0,0,0,0,0,1,1,0,"c","c","-19",NA,"7125",58686,12.1408853900419,"London",36.6821,4414.66666666667,NA,NA,13.78,1.8,NA,19,NA,0.514952406541897,2,NA,0.663098326397328,NA,NA,NA,NA,NA,NA,"3086000",NA,NA,NA,NA,NA,NA,NA,NA
"57","BEXLEY",2015,0,0,0,0,10,6,0,0,0,0,0,1,1,0,"c","c","-24",44,"7347",58972,12.4584548599335,"London",42,4414.66666666667,86.3,5.4,14.16,1.3,NA,24,56,0.663098326397328,2,0.514952406541897,0.751985878310587,0,1,1,2,0,0,"3040000",NA,NA,0,0,0,0,0,0
"58","BEXLEY",2016,0,0,0,0,10,6,0,0,0,0,0,1,1,0,"100","30","-27",44,"7089",59540,11.9062814914343,"London",46,4414.66666666667,81.8,6.5,14.33,1.3,30,27,56,0.751985878310587,2,0.663098326397328,0.544581590512983,0,1,1,2,0,0,"4950000",NA,NA,0,0,0,0,0,0
"59","BEXLEY",2017,0,3,10,0,20,6,0,0,1,0,0,2,1,0,"c","c","-20",12.1,"7968",59288,13.4394818513021,"London",53.4995,4414.66666666667,82.3,4.3,14.5,1.4,NA,20,87.9,0.544581590512983,4,0.751985878310587,0.426064854628638,0,1,1,2,0,0,"4490000",NA,NA,2,1,0,0,1,0
"60","BEXLEY",2018,0,3,10,0,10,6,0,0,1,0,0,1,1,0,"c","c","-16",15.7,"7383",59438,12.4213466132777,"London",54,4414.66666666667,81.5,3.3,14.37,1.3,NA,16,84.3,0.426064854628638,3,0.544581590512983,0.396435670657552,0,2,1,4,0,1,"3593000","11","26",-1,-1,0,0,0,0
"61","BEXLEY",2019,0,3,0,0,10,6,0,0,1,0,0,1,1,0,"c","c","-15",17.3,"8391",59652,14.0665861999598,"London",55.5,4414.66666666667,82.5,4.1,14.63,1.8,NA,15,82.7,0.396435670657552,3,0.426064854628638,0.57421077448407,0,1,1,3,0,1,"3779000","17","39",0,0,0,0,0,0
"62","BEXLEY",2020,7,3,0,0,10,6,0,2,1,0,0,1,1,0,"c","c","-21",14,"7794",59659,13.0642484788548,"London",55.5,4414.66666666667,81.5,3.8,13.6,5.5,NA,21,86,0.57421077448407,5,0.396435670657552,0.57421077448407,0,1,1,3,0,1,"3800000","15","33",2,0,0,0,0,2
"63","BEXLEY",2021,11,3,0,0,10,6,0,3,1,0,0,1,1,0,"c","c","-21",9.2,"7682",59435,12.9250441658955,"London",59.25,4414.66666666667,79.5,6.4,14.65,4.9,NA,21,90.8,0.57421077448407,6,0.57421077448407,0.426064854628638,0,1,1,5,2,1,"5458279","10","23",1,0,0,0,0,1
"64","BEXLEY",2022,14,7,0,0,10,6,0,4,2,0,0,1,1,0,"c","c","-16",20.8,"8408",59872,14.0432923570283,"London",61.5,4414.66666666667,77.9,6,16.39,3,NA,16,79.2,0.426064854628638,8,0.57421077448407,0.189031382859949,0,1,1,6,3,1,"5912000","9","22",2,0,0,0,1,1
"65","BEXLEY",2023,14,7,0,0,10,6,0,4,2,0,0,1,1,0,"c","c","-8",16.5,"8846",60700,14.5733113673806,"London",63.5,4414.66666666667,78.2,2.1,17.31,3.1,NA,8,83.5,0.189031382859949,8,0.426064854628638,0.189031382859949,0,1,1,8,4,2,"7434000","10","26",0,0,0,0,0,0
"66","BEXLEY",2024,14,7,0,0,10,6,0,4,2,0,0,1,1,0,"c","c","-8",17.1,NA,NA,NA,"London",61.2,4414.66666666667,81.2,10,17.93,3.3,NA,8,82.9,0.189031382859949,8,0.189031382859949,NA,0,1,1,8,4,2,"8509405","8","22",0,0,0,0,0,0
"67","BIRMINGHAM",2014,56,16,32,77,12,33,0,18,3,6,10,2,10,0,"37","66","-44",NA,"93370",298861,31.2419485981777,"West Midlands",26.8,2060,NA,NA,12.85,5.2,178.378378378378,44,NA,1.25568200581905,49,NA,1.49271547758774,NA,NA,NA,NA,NA,NA,"25829231",NA,NA,NA,NA,NA,NA,NA,NA
"68","BIRMINGHAM",2015,62,16,32,77,12,33,0,19,3,6,10,2,10,0,"39","76","-52",25,"101690",301816,33.692713441302,"West Midlands",28.9,2060,65,10.4,13.74,4.1,194.871794871795,52,75,1.49271547758774,50,1.25568200581905,1.25568200581905,10,2,10,49,18,3,"31362000",NA,NA,1,0,0,0,0,1
"69","BIRMINGHAM",2016,76,30,13,77,12,67,0,23,7,2,10,2,16,0,"46","85","-44",25,"104064",305100,34.1081612586037,"West Midlands",32,2060,64.2,9.8,13.95,4.2,184.782608695652,44,75,1.25568200581905,60,1.49271547758774,0.751985878310587,10,2,10,50,19,3,"31052827",NA,NA,10,0,0,6,4,4
"70","BIRMINGHAM",2017,83,34,3,47,16,67,0,26,8,1,5,3,16,0,"45","85","-27",25.8,"118815",306955,38.7076281539639,"West Midlands",33,2060,58,8.7,14.46,4.3,188.888888888889,27,74.2,0.751985878310587,59,1.25568200581905,-0.136889640822,10,2,16,60,23,7,"33954351",NA,NA,-1,1,-5,0,1,3
"71","BIRMINGHAM",2018,94,34,0,42,42,67,0,29,8,0,4,6,16,0,"35","56","3",19.3,"114872",307266,37.3851971907077,"West Midlands",34,2060,58.4,8,15,5,160,-3,80.7,-0.136889640822,63,0.751985878310587,0.781615062281673,5,3,16,59,26,8,"34984355","8","146",4,3,-1,0,0,3
"72","BIRMINGHAM",2019,97,35,0,0,42,75,0,30,9,0,0,6,18,0,"47","80","-28",19.8,"127329",306848,41.4957894462405,"West Midlands",36.15,2060,58.7,7.7,15.33,6.2,170.212765957447,28,80.2,0.781615062281673,63,-0.136889640822,0.514952406541897,4,6,16,63,29,8,"34162885","7","144",0,0,-4,2,1,1
"73","BIRMINGHAM",2020,105,39,0,0,45,75,0,34,10,0,0,7,18,0,"53","87","-19",26.5,"113751",305725,37.2069670455475,"West Midlands",36,2060,57.3,10.2,15.66,10.5,164.150943396226,19,73.5,0.514952406541897,69,0.781615062281673,0.396435670657552,0,6,18,63,30,9,"36715915","5","89",6,1,0,0,1,4
"74","BIRMINGHAM",2021,108,45,3,0,41,46,0,36,12,0,0,6,14,0,"52","87","-15",27.9,"119027",303201,39.2567966464491,"West Midlands",39.5,2060,57.7,9.1,16.16,10.6,167.307692307692,15,72.1,0.396435670657552,68,0.514952406541897,0.633469142426242,0,7,18,69,34,10,"39310184","3","67",-1,-1,0,-4,2,2
"75","BIRMINGHAM",2022,111,51,5,0,44,46,0,37,14,0,0,6,14,0,"54","103","-23",30.9,"131743",304718,43.2344003307977,"West Midlands",41.1,2060,54.5,7.7,17.16,8.3,190.740740740741,23,69.1,0.633469142426242,71,0.396435670657552,0.870502614194932,0,6,14,68,36,12,"43425646","5","105",3,0,0,0,2,1
"76","BIRMINGHAM",2023,105,51,12,0,44,46,0,34,14,0,0,6,14,0,"57","117","-31",26.7,"134545",306873,43.8438702655496,"West Midlands",43,2060,56.3,7.7,17.3,8.2,205.263157894737,31,73.3,0.870502614194932,68,0.633469142426242,1.10753608596362,0,6,14,71,37,14,"53673763","7","163",-3,0,0,0,0,-3
"77","BIRMINGHAM",2024,105,51,12,0,44,46,0,34,14,0,0,6,14,0,"55","124","-39",26.6,NA,NA,NA,"West Midlands",46.2,2060,55.4,6.8,19.17,9.5,225.454545454545,39,73.4,1.10753608596362,68,0.870502614194932,NA,0,6,14,68,34,14,"70278614","8","190",0,0,0,0,0,0
"78","BLACKBURN WITH DARWEN",2014,4,5,4,20,0,0,0,1,1,1,4,0,0,0,"58","11","-8",NA,"14008",41012,34.1558568223934,"North West",17,1259.33333333333,NA,NA,11.91,3.1,18.9655172413793,8,NA,0.189031382859949,7,NA,0.218660566831035,NA,NA,NA,NA,NA,NA,"1544076",NA,NA,NA,NA,NA,NA,NA,NA
"79","BLACKBURN WITH DARWEN",2015,4,5,5,20,0,0,0,1,1,2,4,0,0,0,"60","15","-9",3,"15441",41140,37.5328147788041,"North West",17.6995,1259.33333333333,73.3,8,11.64,2.8,25,9,97,0.218660566831035,8,0.189031382859949,0.0408854630045174,4,0,0,7,1,1,"2089350",NA,NA,1,0,0,0,0,0
