"","URN","chain_size"
"325","1183936",2
"326","1216657",8
"327","1224674",38
"328","1226969",19
"329","1227330",4
"330","1228522",4
"331","1231066",8
"332","1234163",6
"333","1234319",4
"334","1234990",4
"335","1240803",24
"336","1240840",24
"337","1242116",4
"338","1244000",225
"339","1244283",127
"340","1244527",36
"341","1245390",1
"342","1245569",131
"343","1245979",127
"344","1245980",127
"345","1245981",127
"346","1245982",127
"347","1245984",127
"348","1247386",3
"349","1249184",60
"350","1250287",2
"351","1250842",4
"352","1252125",5
"353","1252997",1
"354","1254371",4
"355","1255095",1
"356","1255147",131
"357","1255796",131
"358","1256794",12
"359","1258026",3
"360","1258095",16
"361","1258199",2
"362","1258893",1
"363","1264696",2
"364","1267402",1
"365","1267413",2
"366","1271214",1
"367","1271607",16
"368","1272209",2
"369","1272827",1
"370","1275649",13
"371","1276706",2
"372","1277449",1
"373","1280237",5
"374","2483720",36
"375","2484136",1
"376","2484435",1
"377","2484626",15
"378","2490697",14
"379","2490784",2
"380","2494881",2
"381","2497156",41
"382","2498911",34
"383","2502009",1
"384","2503306",5
"385","2503316",1
"386","2506082",17
"387","2508545",60
"388","2510090",1
"389","2510324",1
"390","2516658",1
"391","2517433",1
"392","2519084",1
"393","2519199",1
"394","2525831",3
"395","2526920",13
"396","2530801",1
"397","2530977",1
"398","2531920",60
"399","2534596",5
"400","2545130",15
"401","SC000678",3
"402","SC005066",34
"403","SC005067",58
"404","SC009648",60
"405","SC010700",5
"406","SC013402",19
"407","SC022437",7
"408","SC022440",7
"409","SC022444",7
"410","SC022880",5
"411","SC025799",1
"412","SC032154",2
"413","SC032167",7
"414","SC033411",3
"415","SC033432",3
"416","SC034134",3
"417","SC034184",10
"418","SC034741",14
"419","SC034940",4
"420","SC035105",14
"421","SC035352",7
"422","SC035364",7
"423","SC036019",8
"424","SC036551",5
"425","SC036726",7
"426","SC037152",1
"427","SC037543",5
"428","SC039897",5
"429","SC040628",12
"430","SC058750",10
"431","SC060758",38
"432","SC061770",1
"433","SC062288",9
"434","SC062406",60
"435","SC062573",11
"436","SC063759",60
"437","SC063959",131
"438","SC065312",2
"439","SC066166",3
"440","SC066277",17
"441","SC068205",8
"442","SC359812",10
"443","SC361129",2
"444","SC366851",60
"445","SC368032",1
"446","SC368934",9
"447","SC368982",58
"448","SC371723",9
"449","SC372617",131
"450","SC372619",131
"451","SC372652",131
"452","SC372664",131
"453","SC374180",7
"454","SC374640",131
"455","SC374939",60
"456","SC375911",6
"457","SC378600",1
"458","SC381725",23
"459","SC383187",3
"460","SC384924",225
"461","SC386651",131
"462","SC389649",225
"463","SC390434",10
"464","SC390577",22
"465","SC397112",131
"466","SC398367",2
"467","SC398385",16
"468","SC400219",131
"469","SC405985",1
"470","SC408072",10
"471","SC411054",60
"472","SC411208",1
"473","SC411832",2
"474","SC413078",127
"475","SC413678",2
"476","SC413987",2
"477","SC417351",10
"478","SC420303",2
"479","SC423741",225
"480","SC429762",2
"481","SC429778",2
"482","SC430002",1
"483","SC433290",225
"484","SC436826",1
"485","SC438751",19
"486","SC438756",19
"487","SC440014",60
"488","SC444792",7
"489","SC446003",3
"490","SC447930",7
"491","SC448615",2
"492","SC451152",3
"493","SC451819",38
"494","SC452009",131
"495","SC454035",5
"496","SC457013",3
"497","SC457506",225
"498","SC457621",225
"499","SC457639",6
"500","SC458021",15
"501","SC458746",2
"502","SC459244",5
"503","SC461240",5
"504","SC461275",16
"505","SC462149",38
"506","SC463647",12
"507","SC465079",225
"508","SC468325",2
"509","SC473460",2
"510","SC474050",131
"511","SC474724",2
"512","SC474782",23
"513","SC476261",225
"514","SC476267",225
"515","SC479281",2
"516","SC479776",1
"517","SC480086",53
"518","SC480840",53
"519","SC480850",53
"520","SC482223",60
"521","SC482340",5
"522","SC484790",4
"523","SC486886",1
"524","SC487794",3
"525","SC489187",1
"526","SC489640",2
"527","SC490136",2
"528","2596610",2
"529","1280478",3
"530","2496288",1
"531","2507038",131
"532","2572121",2
"533","2581187",1
"534","2596852",2
"535","2577018",10
"536","2566231",12
"537","2530437",2
"538","2629398",1
"539","2571480",1
"540","2572132",60
"541","2577036",1
"542","2580890",6
"543","2591643",4
"544","2534215",6
"545","2585079",60
"546","2611667",1
"547","2618477",2
"548","2593709",9
"549","SC481444",7
"550","2567658",1
"551","2569519",1
"552","2571033",14
"553","2580887",3
"554","SC034211",10
"555","2570481",22
"556","2599480",225
"557","2575004",2
"558","2594035",9
"559","2612071",1
"560","2537322",9
"561","1155775",225
"562","1159272",225
"563","1159385",225
"564","1159755",12
"565","1185488",3
"566","1212117",38
"567","1212708",38
"568","1214396",1
"569","1223201",12
"570","1225136",225
"571","1225371",12
"572","1227869",41
"573","1231405",22
"574","1231525",225
"575","1231812",22
"576","1232380",9
"577","1232657",41
"578","1232658",41
"579","1236387",127
"580","1240572",127
"581","1240573",127
"582","1241789",60
"583","1241970",127
"584","1246449",4
"585","1247144",9
"586","1247384",4
"587","1247773",131
"588","1249259",127
"589","1249715",127
"590","1250196",5
"591","1250902",8
"592","1250931",41
"593","1251073",5
"594","1253623",2
"595","1253716",41
"596","1254745",34
"597","1254782",17
