Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Private,SC456419,1,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456532,2,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456539,1,BOLTON,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456542,1,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456543,1,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456850,1,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC456857,1,ROCHDALE,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC477724,3,WIGAN,Crystal Care Solutions,Crystal Care Solutions,CRYSTAL CARE SOLUTIONS LIMITED,2014-07-17,NA,05952454
Private,SC477726,2,WIGAN,Crystal Care Solutions,Crystal Care Solutions,CRYSTAL CARE SOLUTIONS LIMITED,2014-07-18,NA,05952454
Private,1185828,4,WIGAN,Next Stage 4 Life Ltd,Next Stage 4 Life Ltd,NEXT STAGE 4 LIFE LTD,2016-02-08,NA,08256389
Voluntary,1233310,3,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,2016-08-08,NA,02978546
Private,1240801,3,WIGAN,Inspire Childrens Services,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED,2016-06-27,NA,06968122
Private,1241757,3,WIGAN,Inspire Childrens Services,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED,2016-08-09,NA,06968122
Private,1250915,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,2017-03-16,NA,05087886
Private,1263425,2,STOCKPORT,Social Care Services Ltd,Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.,2018-09-25,NA,10413929
Private,1265092,7,BOLTON,4PureHeart Limited,4PureHeart Limited,4PUREHEART LIMITED,2018-01-03,NA,10057047
Private,1270297,3,BURY,Next Stage 4 Life Ltd,Next Stage 4 Life Ltd,NEXT STAGE 4 LIFE LTD,2017-11-24,NA,08256389
Private,1280412,4,WIGAN,Apex Childrens Services,Apex Childrens Services,APEX CHILDRENS SERVICES LTD,2018-06-25,NA,10344525
Private,2484682,3,BURY,Next Stage 4 Life Ltd,Next Stage 4 Life Ltd,NEXT STAGE 4 LIFE LTD,2018-08-06,NA,08256389
Private,2509452,3,WIGAN,Horizon Care And Education Group Limited,Horizon Care And Education Group Limited,HORIZON CARE AND EDUCATION GROUP LIMITED,2019-03-11,NA,06454959
Private,2509670,4,STOCKPORT,Crystal Care Solutions Limited,Crystal Care Solutions Limited,CRYSTAL CARE SOLUTIONS LIMITED,2019-03-28,NA,05952454
Private,2509838,3,BOLTON,Holistic Approach Ltd,Holistic Approach Ltd,HOLISTIC APPROACH LTD,2019-02-13,NA,09365310
Private,2510604,4,BURY,Nestlings Care Ltd,Nestlings Care Ltd,NESTLINGS CARE LTD,2019-07-04,NA,07252721
Private,2519592,4,TAMESIDE,Care 4 Children Residential Services Ltd,Care 4 Children Residential Services Ltd,YOUR CHAPTER LIMITED,2019-04-08,NA,09097182
Private,2525774,4,OLDHAM,Stepping Stones Childrens Homes Ltd,Stepping Stones Childrens Homes Ltd,STEPPING STONES CHILDRENS HOMES LIMITED,2019-05-28,NA,09977747
Private,2536761,4,WIGAN,Hexagon Care Services Limited,Hexagon Care Services Limited,HEXAGON CARE SERVICES LIMITED,2019-08-15,NA,08885676
Private,2541033,5,TRAFFORD,Pure Care Homes Ltd,Pure Care Homes Ltd,PURE CARE HOMES LTD,2019-09-05,NA,11667392
Private,2542024,2,MANCHESTER,Proactive Care,Proactive Care,PROACTIVE CARE SERVICES LIMITED,2019-08-30,NA,03719907
Private,2548528,4,ROCHDALE,Octagon Care Ltd,Octagon Care Ltd,OCTAGON CARE LTD,2019-08-12,NA,10988764
Private,SC005567,4,TAMESIDE,Keys Stepping Stones Limited,Keys Stepping Stones Limited,KEYS STEPPING STONES LIMITED,NA,NA,03749791
Private,SC005589,2,TAMESIDE,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC008486,6,STOCKPORT,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC008487,6,STOCKPORT,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC008490,4,STOCKPORT,Keys Stepping Stones Limited,Keys Stepping Stones Limited,KEYS STEPPING STONES LIMITED,NA,NA,03749791
Private,SC008607,2,STOCKPORT,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC008608,2,STOCKPORT,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC021677,4,MANCHESTER,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC021679,4,MANCHESTER,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
