"Relative Low Income (I
II
III
IV
V
VI)",,,,,,,,,,,
National - Regional - LA - OAs by Year,,,,,,,,,,,
Counting: Relative Low Income,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Relative Low Income,,,,,,,,,,
,,,,,,,,,,,
Year,,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
,National - Regional - LA - OAs,,,,,,,,,,
,Coventry,16470,18806,18682,21621,20230,23252,20343,21478,24087,25145
,Dudley,15034,16118,16688,19165,18042,21013,18825,19243,21510,22610
,Sandwell,23410,26135,26767,31041,29835,34113,29744,31375,34694,35990
,Solihull,5945,6358,6376,7178,6633,7859,7205,7187,8130,8532
,Walsall,18254,19553,20229,23639,22804,26143,23510,24269,26797,27457
,Wolverhampton,15922,17343,18098,20525,19888,23071,20279,21564,24090,25364
,Worcestershire,18306,19457,18939,21691,19935,24138,20868,21770,24141,25281
,Bedford,6883,7007,6790,7943,7442,8543,7344,7781,8777,9323
,Central Bedfordshire,6872,7096,6902,7632,7022,8878,8335,8180,8778,9374
,Luton,16047,17506,17606,19915,18816,21960,19998,20685,22569,23248
,Peterborough,12435,13663,13668,16143,15364,17433,15111,16040,17994,19594
,Southend-on-Sea,6247,6704,6718,7462,6871,7750,6888,6897,7887,8425
,Thurrock,7206,7655,7587,8603,7817,9119,8476,8263,9298,9875
,Cambridgeshire,15826,16761,16823,19255,17662,20551,18096,18361,20563,21588
,Essex,42559,44859,43882,49589,45905,53668,49033,48611,53086,55401
,Hertfordshire,28381,29226,28911,32753,30539,35661,32770,32390,34878,36460
,Norfolk,30226,32184,31989,36232,33590,39764,33635,34638,39446,41727
,Suffolk,23264,24956,24674,28846,26622,31249,26669,27787,31149,33436
,Camden,6006,6559,6576,7642,7189,8092,7332,7948,8478,8320
,City of London,68,71,65,67,66,70,64,273,258,212
,Hackney,10885,11837,11556,13459,12461,14580,13086,13656,14728,15913
,Hammersmith and Fulham,4054,4253,3998,4544,4384,4891,4422,4515,5108,5137
,Haringey,9925,10468,10235,11609,10511,11477,9876,10429,11252,12189
,Islington,5815,6381,6229,7234,6786,7460,7023,7285,8418,8529
,Kensington and Chelsea,2186,2298,2159,2563,2162,2327,2175,2466,2748,2729
,Lambeth,9828,10215,10213,11818,10361,11754,10705,10760,11786,11936
,Lewisham,10540,11154,10834,12227,11476,12723,11336,11369,12557,13240
,Newham,20318,21145,21157,22690,21079,23097,20315,20743,23167,26273
,Southwark,11037,11599,11201,11932,11047,12317,10855,11303,12868,13218
,Tower Hamlets,16079,17146,17071,19492,18446,20720,18378,18702,21164,21587
,Wandsworth,5734,6325,6104,6942,6467,7721,7200,7629,9108,9667
,Westminster,4062,4467,4303,4990,4479,4910,4515,4716,5021,5087
,Barking and Dagenham,12384,13812,14048,15644,14437,16603,15294,15218,17013,18585
,Barnet,10028,10559,10498,11777,10272,11689,10541,10602,11995,13717
,Bexley,7125,7347,7089,7968,7383,8391,7794,7682,8408,8846
,Brent,11449,12624,12150,13496,12711,14175,13359,13447,14931,16687
,Bromley,7477,7307,7085,7975,7231,8097,7717,7289,8100,8114
,Croydon,13138,13705,13659,14715,13612,15313,13921,14503,16658,18451
,Ealing,11652,12432,12400,13469,12627,14059,12960,12699,14208,15633
,Enfield,13144,13991,13547,14660,13294,14500,12576,12816,14727,16515
,Greenwich,11169,11719,11956,13279,12145,13833,13017,13037,14904,15192
,Harrow,6686,7331,7097,8189,7898,9194,9011,8593,9749,10930
,Havering,7270,7593,7667,8423,7889,9222,8753,8489,9462,9973
,Hillingdon,9108,9490,9513,11124,10378,11858,11296,11267,12709,13894
,Hounslow,8995,9593,9936,10798,10148,11707,11072,11060,12356,12844
,Kingston upon Thames,3008,3229,3139,3637,3355,3696,3315,3246,3657,3932
,Merton,6371,6659,6314,7077,6399,7254,6467,6356,7096,7296
,Redbridge,12732,13371,12920,14173,12889,14538,12970,12816,14461,16648
,Richmond upon Thames,2545,2492,2473,2830,2410,2818,2662,2438,2821,2892
,Sutton,4975,5168,4921,5194,4892,5727,5289,5296,5983,6356
,Waltham Forest,13197,13917,13666,15334,14031,15480,13872,13521,14482,15247
,Bracknell Forest,2270,2436,2356,2652,2511,2967,2643,2610,2993,3139
,Brighton and Hove,6586,7037,6868,7643,6954,7906,7043,6800,7358,7605
,Buckinghamshire,12904,13783,13632,15478,14672,16897,15906,15641,17048,17751
,Isle of Wight,4612,4759,4886,5693,5080,5818,4944,5272,5897,6465
,Medway,10175,11003,10913,12250,11384,13451,12452,12239,13367,14213
,Milton Keynes,10545,10850,11016,13002,12187,14178,12447,12785,13866,14816
,Portsmouth,7884,8342,8361,9392,8875,10464,8956,9515,10425,10957
,Reading,4555,5129,5251,5952,5568,6184,5649,5817,6779,7168
,Slough,7104,7352,7456,8653,8567,9794,9100,9311,10284,11379
,Southampton,9255,9701,9631,11504,10651,12473,11006,11510,12992,13647
,West Berkshire,2896,2932,3019,3419,3140,3888,3259,3390,3915,4198
,Windsor and Maidenhead,2768,2794,2799,3223,2832,3290,3085,2936,3234,3328
,Wokingham,2392,2630,2465,2869,2845,3153,3002,2935,3386,3444
,East Sussex,16364,17301,16626,19022,17334,19883,17303,17543,19753,20519
,Hampshire,29402,30996,29621,33530,30785,37056,32896,33288,37490,39901
,Kent,49069,51686,51055,58210,54088,63918,57159,56580,63381,66552
,Oxfordshire,13768,14520,14375,16076,15041,17478,15161,15949,18202,19593
,Surrey,20251,21028,20594,22781,21374,24775,23395,23137,25434,26787
,West Sussex,20030,20831,20398,23334,22196,26301,23637,23791,26367,27747
,Bath and North East Somerset,3889,3988,3858,4163,3821,4440,3926,3817,4482,4706
,"Bournemouth, Christchurch and Poole",9976,10621,10492,11668,10813,12552,11401,11216,12594,13552
,"Bristol, City of",16505,17791,18043,20989,19667,22595,20138,20699,22691,23396
,Cornwall,20411,21560,21411,24062,22454,26287,22028,22729,25287,27110
,Dorset,9526,9848,9456,10941,9895,11603,9721,10236,11458,12509
,Isles of Scilly,47,44,46,36,45,39,32,37,31,41
,North Somerset,5345,5713,5505,6409,5764,6666,5984,5983,6750,7302
,Plymouth,9772,10215,10248,11710,10849,12752,10646,11205,12640,13383
,Somerset,17100,18412,17997,20158,18294,21388,17880,19253,21766,23271
,South Gloucestershire,6358,6516,6453,7326,6723,8061,7259,7247,8003,8645
,Swindon,7208,7524,7305,8736,7842,9237,7997,8464,9665,10519
,Torbay,4952,5285,5148,5872,5288,6363,5332,5474,6132,6699
,Wiltshire,11801,11989,11574,13066,11977,14286,12146,13090,15063,16355
,Devon,23629,24866,24259,27554,25356,30226,24793,25422,28250,30332
,Gloucestershire,17769,18711,18553,21111,19438,22678,19297,20173,22803,24694
,Isle of Anglesey / Ynys Môn,3022,3228,3204,3405,3135,3593,2971,3167,3493,3678
,Gwynedd / Gwynedd,4776,5281,5175,5604,5253,5915,4892,5063,5500,5840
,Conwy / Conwy,4393,4688,4434,5009,4490,5230,4582,4647,5263,5547
,Denbighshire / Sir Ddinbych,3803,4013,3993,4403,4141,4819,4200,4423,5066,5278
,Flintshire / Sir y Fflint,5465,5677,5434,5959,5263,6359,5322,5682,6492,6865
,Wrexham / Wrecsam,5364,5650,5672,6545,5971,7329,5559,5730,6351,6741
,Powys / Powys,5181,5422,5179,5766,5262,5777,4825,5192,5577,5746
,Ceredigion / Ceredigion,2643,3023,2884,3184,2914,3248,2694,2884,3199,3407
,Pembrokeshire / Sir Benfro,5668,6012,5869,6550,6126,6723,5524,5733,6381,6791
,Carmarthenshire / Sir Gaerfyrddin,8015,8660,8415,9377,8612,9848,8101,8398,9518,9839
,Swansea / Abertawe,9137,10002,9974,11107,10058,10913,8762,9639,11246,11639
,Neath Port Talbot / Castell-nedd Port Talbot,5635,6036,6115,6680,6007,6932,5969,6453,7227,7480
,Bridgend / Pen-y-bont ar Ogwr,5424,5738,5718,6479,6002,6935,5713,6131,6801,7174
,Vale of Glamorgan / Bro Morgannwg,4234,4403,4364,4827,4414,5081,4236,4647,5295,5707
,Cardiff / Caerdydd,15162,16426,16118,18426,17020,19061,15963,16551,18999,19640
,Rhondda Cynon Taf / Rhondda Cynon Taf,11488,12497,12419,13973,12146,14105,12265,12455,13848,14393
,Merthyr Tydfil / Merthyr Tudful,3095,3470,3323,3728,3254,3640,3111,3353,3691,3746
,Caerphilly / Caerffili,8545,9067,8643,9960,8765,10020,8260,8597,9616,9844
,Blaenau Gwent / Blaenau Gwent,3950,4129,4001,4243,3700,4299,3567,3860,4377,4574
,Torfaen / Tor-faen,4052,4407,4177,4720,4232,4806,4022,4376,5031,5273
,Monmouthshire / Sir Fynwy,2628,2697,2526,2765,2472,2959,2355,2554,2772,2900
,Newport / Casnewydd,8142,8539,8607,9575,8767,9667,8342,9001,10228,10724
,Aberdeen City,4222,4989,5447,6142,5704,6364,5603,5575,6163,5615
